rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.13.,cyy0***,"한번에 한통 모두 사용해야한다는게 아쉽지만, 효과는 좋은듯합니다. 1층이라 여름되니 여기저기 냄새가 올라오는거같았는데 사용후, 좋아지네요",0,https://phinf.pstatic.net/checkout.phinf/20250713_263/1752409454032mYDEh_JPEG/20250710_133118.jpg?type=f300_300,옵션선택: 맥스 욕실 하수구 클리너 x 2 + 증정,홈스타 맥스 욕실 하수구 클리너 2개 + 특별증정(바르는 곰팡이 싹 120ml)
2,5,25.06.18.,ce****,잘 쓰고 있는 제품이에요. 하수구에서 냄새가 난다 느껴질 때 쓰면 하수구 냄새 안나요..3개월정도씩 주기적으로 써요.,0,https://phinf.pstatic.net/image.nmv/shopnbuyer_2025_06_18_786/Bom8Tcxw1S_03.jpg?type=ffn300_300,옵션선택: 맥스 욕실 하수구 클리너 x 2 + 증정,홈스타 맥스 욕실 하수구 클리너 2개 + 특별증정(바르는 곰팡이 싹 120ml)
3,5,25.07.18.,leej****,하수구클리너 최고 곰팡이제거제감사요,0,https://phinf.pstatic.net/checkout.phinf/20250718_190/1752808415023zTptu_JPEG/PayApp_20250718_121319_260673678384902113.jpg?type=f300_300,옵션선택: 맥스 욕실 하수구 클리너 x 2 + 증정,홈스타 맥스 욕실 하수구 클리너 2개 + 특별증정(바르는 곰팡이 싹 120ml)
4,5,25.07.15.,b5****,재구매 의사 있어요 효과도 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250715_242/1752578902279sIjxi_JPEG/image.jpg?type=f300_300,옵션선택: 맥스 욕실 하수구 클리너 x 2 + 증정,홈스타 맥스 욕실 하수구 클리너 2개 + 특별증정(바르는 곰팡이 싹 120ml)
5,5,25.06.29.,qslk********,"요새 세면대 물이 잘 안내려가고 냄새나는것같아 주문했어요~
사용방법도 간단하고 클리너 사용하고나니까 물도 잘 내려가네요 주기적으로 청소해야겠어요ㅎㅎ",1,https://phinf.pstatic.net/checkout.phinf/20250629_46/1751203250608RIaLP_JPEG/1000122790.jpg?type=f300_300,옵션선택: 맥스 세면대 배수관 클리너 x 2 + 증정,홈스타 맥스 욕실 하수구 클리너 2개 + 특별증정(바르는 곰팡이 싹 120ml)
6,5,25.07.17.,lhbq*****,한번씩 쓰는데 청소할때 좋습니다,0,https://phinf.pstatic.net/checkout.phinf/20250717_96/1752678080874dwrjx_JPEG/IMG_1554.jpeg?type=f300_300,옵션선택: 맥스 욕실 하수구 클리너 x 2 + 증정,홈스타 맥스 욕실 하수구 클리너 2개 + 특별증정(바르는 곰팡이 싹 120ml)
7,5,25.07.16.,kimp****,이거 쓰고 나니 물이 잘내려가네요,0,https://phinf.pstatic.net/checkout.phinf/20250716_80/1752656572281yG1ec_JPEG/20250709_211527.jpg?type=f300_300,옵션선택: 맥스 욕실 하수구 클리너 x 2 + 증정,홈스타 맥스 욕실 하수구 클리너 2개 + 특별증정(바르는 곰팡이 싹 120ml)
8,5,25.06.19.,hort********,작은 하수구라 용기가 맞지 않아 너무 흘려내려가서 효과가 없을까봐 걱정했는데 하고 나니 완전 잘 내려가요. 좁은 하수구라 자주 막혀서 2달에 한 번씩은 하려구요~,1,https://phinf.pstatic.net/checkout.phinf/20250619_260/1750306268354yiVuG_JPEG/1000201425.jpg?type=f300_300,옵션선택: 퍼펙트 세탁조 클리너 x 2 + 증정,홈스타 맥스 욕실 하수구 클리너 2개 + 특별증정(바르는 곰팡이 싹 120ml)
9,5,25.07.17.,lhbq*****,청소할때 쓰는데 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250717_268/1752678105332DA50w_JPEG/IMG_1554.jpeg?type=f300_300,옵션선택: 맥스 싱크대 배수관 클리너 x 2 + 증정,홈스타 맥스 욕실 하수구 클리너 2개 + 특별증정(바르는 곰팡이 싹 120ml)
10,5,25.07.17.,lhbq*****,청소할때 너무 좋습니다,0,https://phinf.pstatic.net/checkout.phinf/20250717_83/1752678129822s70af_JPEG/IMG_1554.jpeg?type=f300_300,옵션선택: 맥스 세면대 배수관 클리너 x 2 + 증정,홈스타 맥스 욕실 하수구 클리너 2개 + 특별증정(바르는 곰팡이 싹 120ml)
11,5,25.07.07.,juho****,역시 믿고 사용하는 홈스타제품입니다. 1+1이라 더 저렴하게 구입했네요.,0,https://phinf.pstatic.net/checkout.phinf/20250707_73/1751853244391wn9G0_JPEG/1000040304.jpg?type=f300_300,옵션선택: 맥스 욕실 하수구 클리너 x 2 + 증정,홈스타 맥스 욕실 하수구 클리너 2개 + 특별증정(바르는 곰팡이 싹 120ml)
12,5,25.07.17.,lhbq*****,한번씩 쓰는데 좋아요 !!,0,https://phinf.pstatic.net/checkout.phinf/20250717_121/1752678047042mMWyu_JPEG/IMG_1554.jpeg?type=f300_300,옵션선택: 맥스 퍼펙트 변기 클리너 x 2 + 증정,홈스타 맥스 욕실 하수구 클리너 2개 + 특별증정(바르는 곰팡이 싹 120ml)
