rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.11.,za****,배송이 빠르고 저렴하고 향이 좋아요.,0,https://phinf.pstatic.net/checkout.phinf/20250711_295/1752190804581FBgxR_JPEG/20250630_095310.jpg?type=f300_300,옵션: 자스민머스크 80매+드라이시트10매,아우라생화캡슐드라이건조기시트80매1개
2,5,25.07.21.,laks****,"추천받아서 처음써봤는데향이 괜찬아여
건조기할때 두장씩 넣어주니 옷꺼낼때
향이 남아있네여~~잘쓸께여",0,https://phinf.pstatic.net/checkout.phinf/20250721_215/1753058092833I2t42_JPEG/1000007872.jpg?type=f300_300,옵션: 아우라 생화캡슐 드라이시트 프레시릴리 80매,아우라생화캡슐드라이건조기시트80매1개
3,5,25.07.17.,hera****,향이 좋아요..담에도 재구매의사 100프로에요,0,https://phinf.pstatic.net/checkout.phinf/20250717_86/1752756435296zP1R3_JPEG/1752756409726.jpg?type=f300_300,옵션: 프레시릴리 80매+드라이시트10매,아우라생화캡슐드라이건조기시트80매1개
4,1,25.07.09.,babu******,반품할까하다가 번거로와서 그냥 사용하겠습니다.다음에는 이런식으로 포장하는거 자재해주세요.,0,https://phinf.pstatic.net/checkout.phinf/20250709_124/1752052817592uJLSO_JPEG/1000016020.jpg?type=f300_300,옵션: 아우라 생화캡슐 드라이시트 프레시릴리 80매,아우라생화캡슐드라이건조기시트80매1개
5,5,25.07.08.,khkh*****,"향별로 다써보고 있는데요
다시 구매하게 되는건 피오니 네요
건조기 문열때 가장 향이 좋은거 같아요",0,https://phinf.pstatic.net/checkout.phinf/20250708_78/1751972576642RJ0Bc_JPEG/image.jpg?type=f300_300,옵션: 아우라 생화캡슐 드라이시트 피오니로즈 80매,아우라생화캡슐드라이건조기시트80매1개
6,5,25.06.13.,khks****,"배송 빠르고 향도 좋네요.
예전에 쓰던 아우라건조시트(스윗만다린&피오니)에 비해 향이 훨씬 강한거 같아요.
새로운 걸로 바꿔보고 싶어서 구매했어요 .",0,https://phinf.pstatic.net/checkout.phinf/20250613_41/17498083456501KQ28_JPEG/1000016581.jpg?type=f300_300,옵션: 아우라 생화캡슐 드라이시트 프레시릴리 80매,아우라생화캡슐드라이건조기시트80매1개
7,5,25.07.01.,za****,배송이 빠르고 향이 오래가요.,0,https://phinf.pstatic.net/checkout.phinf/20250701_290/1751340820540COwB5_JPEG/20250630_095310.jpg?type=f300_300,옵션: 자스민머스크 80매+드라이시트10매,아우라생화캡슐드라이건조기시트80매1개
8,5,25.07.02.,wlgp*****,향이 너무 좋아요~ 배송받자마자 사용했어요~,0,https://phinf.pstatic.net/checkout.phinf/20250702_192/1751442498445x7FFw_JPEG/1000014794.jpg?type=f300_300,옵션: 아우라 생화캡슐 드라이시트 프레시릴리 80매,아우라생화캡슐드라이건조기시트80매1개
9,5,25.07.15.,king****,향이너무좋아 꾸준히 쓰고있어요,0,https://phinf.pstatic.net/checkout.phinf/20250715_191/1752569593854u9m1d_JPEG/image.jpg?type=f300_300,옵션: 아우라 생화캡슐 드라이시트 프레시릴리 80매,아우라생화캡슐드라이건조기시트80매1개
10,5,25.06.19.,minh*****,"부모님댁에 세탁기, 건조기 구매하면서 같이 주문했네요. 안내문자는 받았는데..사은품(?)제품이 품절이라 늦은 배송에 다른제품으로 왔네요. 향은 좋다고 하시네요.",0,https://phinf.pstatic.net/checkout.phinf/20250619_41/1750299287317fL8iK_JPEG/1000101301.jpg?type=f300_300,옵션: 프레시릴리 80매+드라이시트10매,아우라생화캡슐드라이건조기시트80매1개
11,5,25.07.20.,olea******,향이 마음에 듭니다!,0,https://phinf.pstatic.net/checkout.phinf/20250720_294/17529801320281xPNG_JPEG/1752980122220740368252811716005.jpg?type=f300_300,옵션: 아우라 생화캡슐 드라이시트 피오니로즈 80매,아우라생화캡슐드라이건조기시트80매1개
12,5,25.06.27.,wlsr******,"배송엄청빨라서 좋아요 
아직 안써봣지만 향이 오래가면 좋겠어요
어떤게 향이 좋을지몰라서 3개다 사봤습니다~
써보고 좋으면 더 살께요!",0,https://phinf.pstatic.net/checkout.phinf/20250627_49/1750988732890K8DYI_JPEG/IMG_9187.jpeg?type=f300_300,옵션: 아우라 생화캡슐 드라이시트 프레시릴리 80매,아우라생화캡슐드라이건조기시트80매1개
13,5,25.07.03.,hjeb********,"인터넷에서 향이 좋은걸로 찾아보고 구매했는데
정말로 향도 너무 좋고 오래가요",0,https://phinf.pstatic.net/checkout.phinf/20250703_165/1751518411726X7mYl_JPEG/1751518364277.jpg?type=f300_300,옵션: 아우라 생화캡슐 드라이시트 프레시릴리 80매,아우라생화캡슐드라이건조기시트80매1개
14,5,25.07.14.,cybe****,배송빠르고 제품 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250714_213/17524529470261MwFu_JPEG/1000035909.jpg?type=f300_300,옵션: 아우라 생화캡슐 드라이시트 자스민머스크 80매,아우라생화캡슐드라이건조기시트80매1개
15,5,25.07.12.,club****,건조기에 하나 톡 넣으니 향긋한 향이 나서 기분이 좋네요!!,0,https://phinf.pstatic.net/checkout.phinf/20250712_167/17522858609196xKIi_JPEG/1752285853379.jpg?type=f300_300,옵션: 아우라 생화캡슐 드라이시트 프레시릴리 80매,아우라생화캡슐드라이건조기시트80매1개
