rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.20.,yani******,"곰팡이 제거하는데 이거 만한것이 없어요
장마철 욕실 필수템입니딘",0,https://phinf.pstatic.net/checkout.phinf/20250720_194/17530098798594EwaC_JPEG/1753009870873.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
2,3,25.07.08.,lc****,써보지 않았어요. 효과는 모릅니다. 엘지라는 회사믿고 구매했씁니다. 사은품으로 준 제품은 잘쓰겠습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250708_251/1751931510270BC1qu_JPEG/KakaoTalk_20250708_083402732_03.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
3,4,25.07.19.,lyuj****,배송이 빠르고 좋아요 서비스로 주신것도 잘 사용 할게요,0,https://phinf.pstatic.net/checkout.phinf/20250719_288/1752893352138U2srt_JPEG/IMG_9132.jpeg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
4,5,25.07.12.,kkas******,"여름 필수 화장실 아이템. 몇년째 이것만 쓰는중, 바르고 방치하면 끝. 따로 닦지않아 좋음",0,https://phinf.pstatic.net/checkout.phinf/20250712_181/1752288087175Nx2Gi_JPEG/1000006967.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
5,3,25.07.21.,kkky***,욕실 청소할때 잘닦이고 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250721_51/1753062324889gzlPR_JPEG/20250714_095724.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
6,5,25.07.15.,enfa*****,배송 빠르고 좋은 제품 잘 샀네요. 잘 흘게요,0,https://phinf.pstatic.net/checkout.phinf/20250715_93/1752557543871tFsDu_JPEG/image.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
7,5,25.07.16.,suno*****,이전 사진 못 찍었는데 효과 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250716_140/1752638397710Yat2q_JPEG/1752638367590.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
8,5,25.07.18.,kaka******,이거 없음 여름 못 나요>.< 여름 필수품!(사실 사계절 필수품),0,https://phinf.pstatic.net/checkout.phinf/20250718_96/17528228842540C14L_JPEG/image.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
9,5,25.07.15.,ridi****,욕실 실리콘 곰팡이 제거 이것ㅈㅓ것. 써봐도 이게 최고에요,0,https://phinf.pstatic.net/checkout.phinf/20250715_118/1752531285586dl5n3_JPEG/1752531264062.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
10,5,25.07.08.,alic*******,늘 사용하는거라 구매했습니다 줄눈이 깔끔해지고 배송도 빨라서 좋습니다,0,https://phinf.pstatic.net/checkout.phinf/20250708_279/1751974869326OyKFr_JPEG/1751974851776.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
11,5,25.07.07.,ez****,"사용해 보니 좋은것 같아요..
잘 되네요.. 젤 타입이라 사용하기 편하네요..",0,https://phinf.pstatic.net/checkout.phinf/20250707_127/1751892693211XBgsu_JPEG/1000009328.jpg?type=f300_300,선택: 락스와세제 후로랄파인 750ml x 4,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
12,5,25.07.07.,ez****,"사용해 보니 좋은것 같아요..
잘 되네요.. 젤 타입이라 사용하기 편하네요..",0,https://phinf.pstatic.net/checkout.phinf/20250707_215/1751892665696Kxor6_JPEG/1000009328.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
13,5,25.06.26.,cloc****,곰팡이 제거에는 최고입니다. 물기 없이 싹말리고 홈스타 잘 바르고 아침에보면 흔적도없습니다,0,https://phinf.pstatic.net/checkout.phinf/20250626_21/1750901094293pizvV_JPEG/20250625_191958%281%29.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
14,3,25.07.09.,chun*******,좋아요 ㅎㅎ 좋아요 ㅋㅋ,0,https://phinf.pstatic.net/image.nmv/shopnbuyer_2025_07_09_3180/GFTOyVesiy_03.jpg?type=ffn300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
15,4,25.07.20.,hn****,창틀 실리콘 팡이 제거에 굳,0,https://phinf.pstatic.net/checkout.phinf/20250720_74/1753019678945HP01k_JPEG/1753019663952.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
16,5,25.07.15.,kka1***,잘쓰겠습니다  번창하세요,0,https://phinf.pstatic.net/checkout.phinf/20250715_298/1752567575735S2KQk_JPEG/1000007788.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
17,5,25.07.13.,nuri******,급하게 주문했는데 싸게 잘 샀어요,0,https://phinf.pstatic.net/checkout.phinf/20250713_258/1752376592036WvJK9_JPEG/1000018402.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
18,5,25.07.18.,sukh******,필요하고 편하게 쓸 수 있어서 좋다,0,https://phinf.pstatic.net/checkout.phinf/20250718_12/1752818667653P1VNT_JPEG/1752818648396.jpg?type=f300_300,선택: 락스와세제 후로랄파인 750ml x 4,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
19,5,25.07.15.,brav*******,만족하며 사용하는 제품입니다.,0,https://phinf.pstatic.net/checkout.phinf/20250715_171/1752584836461b14oY_JPEG/1000026786.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
20,5,25.07.08.,dntj*****,우선 가격이 착하고 써보진않았지만 성능이 좋으면 또 이곳에서 주문할게요,0,https://phinf.pstatic.net/checkout.phinf/20250708_171/1751971676415or3wk_JPEG/17519716629928319851811588080029.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
21,5,25.07.20.,yani******,"곰팡이 제거하는데 이거 만한것이 없어요
장마철 욕실 필수템입니딘",0,https://phinf.pstatic.net/checkout.phinf/20250720_194/17530098798594EwaC_JPEG/1753009870873.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
22,3,25.07.08.,lc****,써보지 않았어요. 효과는 모릅니다. 엘지라는 회사믿고 구매했씁니다. 사은품으로 준 제품은 잘쓰겠습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250708_251/1751931510270BC1qu_JPEG/KakaoTalk_20250708_083402732_03.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
23,4,25.07.19.,lyuj****,배송이 빠르고 좋아요 서비스로 주신것도 잘 사용 할게요,0,https://phinf.pstatic.net/checkout.phinf/20250719_288/1752893352138U2srt_JPEG/IMG_9132.jpeg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
24,5,25.07.12.,kkas******,"여름 필수 화장실 아이템. 몇년째 이것만 쓰는중, 바르고 방치하면 끝. 따로 닦지않아 좋음",0,https://phinf.pstatic.net/checkout.phinf/20250712_181/1752288087175Nx2Gi_JPEG/1000006967.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
25,3,25.07.21.,kkky***,욕실 청소할때 잘닦이고 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250721_51/1753062324889gzlPR_JPEG/20250714_095724.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
26,5,25.07.15.,enfa*****,배송 빠르고 좋은 제품 잘 샀네요. 잘 흘게요,0,https://phinf.pstatic.net/checkout.phinf/20250715_93/1752557543871tFsDu_JPEG/image.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
27,5,25.07.16.,suno*****,이전 사진 못 찍었는데 효과 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250716_140/1752638397710Yat2q_JPEG/1752638367590.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
28,5,25.07.18.,kaka******,이거 없음 여름 못 나요>.< 여름 필수품!(사실 사계절 필수품),0,https://phinf.pstatic.net/checkout.phinf/20250718_96/17528228842540C14L_JPEG/image.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
29,5,25.07.15.,ridi****,욕실 실리콘 곰팡이 제거 이것ㅈㅓ것. 써봐도 이게 최고에요,0,https://phinf.pstatic.net/checkout.phinf/20250715_118/1752531285586dl5n3_JPEG/1752531264062.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
30,5,25.07.08.,alic*******,늘 사용하는거라 구매했습니다 줄눈이 깔끔해지고 배송도 빨라서 좋습니다,0,https://phinf.pstatic.net/checkout.phinf/20250708_279/1751974869326OyKFr_JPEG/1751974851776.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
31,5,25.07.07.,ez****,"사용해 보니 좋은것 같아요..
잘 되네요.. 젤 타입이라 사용하기 편하네요..",0,https://phinf.pstatic.net/checkout.phinf/20250707_127/1751892693211XBgsu_JPEG/1000009328.jpg?type=f300_300,선택: 락스와세제 후로랄파인 750ml x 4,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
32,5,25.07.07.,ez****,"사용해 보니 좋은것 같아요..
잘 되네요.. 젤 타입이라 사용하기 편하네요..",0,https://phinf.pstatic.net/checkout.phinf/20250707_215/1751892665696Kxor6_JPEG/1000009328.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
33,5,25.06.26.,cloc****,곰팡이 제거에는 최고입니다. 물기 없이 싹말리고 홈스타 잘 바르고 아침에보면 흔적도없습니다,0,https://phinf.pstatic.net/checkout.phinf/20250626_21/1750901094293pizvV_JPEG/20250625_191958%281%29.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
34,3,25.07.09.,chun*******,좋아요 ㅎㅎ 좋아요 ㅋㅋ,0,https://phinf.pstatic.net/image.nmv/shopnbuyer_2025_07_09_3180/GFTOyVesiy_03.jpg?type=ffn300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
35,4,25.07.20.,hn****,창틀 실리콘 팡이 제거에 굳,0,https://phinf.pstatic.net/checkout.phinf/20250720_74/1753019678945HP01k_JPEG/1753019663952.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
36,5,25.07.15.,kka1***,잘쓰겠습니다  번창하세요,0,https://phinf.pstatic.net/checkout.phinf/20250715_298/1752567575735S2KQk_JPEG/1000007788.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
37,5,25.07.13.,nuri******,급하게 주문했는데 싸게 잘 샀어요,0,https://phinf.pstatic.net/checkout.phinf/20250713_258/1752376592036WvJK9_JPEG/1000018402.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
38,5,25.07.18.,sukh******,필요하고 편하게 쓸 수 있어서 좋다,0,https://phinf.pstatic.net/checkout.phinf/20250718_12/1752818667653P1VNT_JPEG/1752818648396.jpg?type=f300_300,선택: 락스와세제 후로랄파인 750ml x 4,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
39,5,25.07.15.,brav*******,만족하며 사용하는 제품입니다.,0,https://phinf.pstatic.net/checkout.phinf/20250715_171/1752584836461b14oY_JPEG/1000026786.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
40,5,25.07.08.,dntj*****,우선 가격이 착하고 써보진않았지만 성능이 좋으면 또 이곳에서 주문할게요,0,https://phinf.pstatic.net/checkout.phinf/20250708_171/1751971676415or3wk_JPEG/17519716629928319851811588080029.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
41,5,25.07.20.,yani******,"곰팡이 제거하는데 이거 만한것이 없어요
장마철 욕실 필수템입니딘",0,https://phinf.pstatic.net/checkout.phinf/20250720_194/17530098798594EwaC_JPEG/1753009870873.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
42,3,25.07.08.,lc****,써보지 않았어요. 효과는 모릅니다. 엘지라는 회사믿고 구매했씁니다. 사은품으로 준 제품은 잘쓰겠습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250708_251/1751931510270BC1qu_JPEG/KakaoTalk_20250708_083402732_03.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
43,4,25.07.19.,lyuj****,배송이 빠르고 좋아요 서비스로 주신것도 잘 사용 할게요,0,https://phinf.pstatic.net/checkout.phinf/20250719_288/1752893352138U2srt_JPEG/IMG_9132.jpeg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
44,5,25.07.12.,kkas******,"여름 필수 화장실 아이템. 몇년째 이것만 쓰는중, 바르고 방치하면 끝. 따로 닦지않아 좋음",0,https://phinf.pstatic.net/checkout.phinf/20250712_181/1752288087175Nx2Gi_JPEG/1000006967.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
45,3,25.07.21.,kkky***,욕실 청소할때 잘닦이고 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250721_51/1753062324889gzlPR_JPEG/20250714_095724.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
46,5,25.07.15.,enfa*****,배송 빠르고 좋은 제품 잘 샀네요. 잘 흘게요,0,https://phinf.pstatic.net/checkout.phinf/20250715_93/1752557543871tFsDu_JPEG/image.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
47,5,25.07.16.,suno*****,이전 사진 못 찍었는데 효과 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250716_140/1752638397710Yat2q_JPEG/1752638367590.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
48,5,25.07.18.,kaka******,이거 없음 여름 못 나요>.< 여름 필수품!(사실 사계절 필수품),0,https://phinf.pstatic.net/checkout.phinf/20250718_96/17528228842540C14L_JPEG/image.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
49,5,25.07.15.,ridi****,욕실 실리콘 곰팡이 제거 이것ㅈㅓ것. 써봐도 이게 최고에요,0,https://phinf.pstatic.net/checkout.phinf/20250715_118/1752531285586dl5n3_JPEG/1752531264062.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
50,5,25.07.08.,alic*******,늘 사용하는거라 구매했습니다 줄눈이 깔끔해지고 배송도 빨라서 좋습니다,0,https://phinf.pstatic.net/checkout.phinf/20250708_279/1751974869326OyKFr_JPEG/1751974851776.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
51,5,25.07.07.,ez****,"사용해 보니 좋은것 같아요..
잘 되네요.. 젤 타입이라 사용하기 편하네요..",0,https://phinf.pstatic.net/checkout.phinf/20250707_127/1751892693211XBgsu_JPEG/1000009328.jpg?type=f300_300,선택: 락스와세제 후로랄파인 750ml x 4,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
52,5,25.07.07.,ez****,"사용해 보니 좋은것 같아요..
잘 되네요.. 젤 타입이라 사용하기 편하네요..",0,https://phinf.pstatic.net/checkout.phinf/20250707_215/1751892665696Kxor6_JPEG/1000009328.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
53,5,25.06.26.,cloc****,곰팡이 제거에는 최고입니다. 물기 없이 싹말리고 홈스타 잘 바르고 아침에보면 흔적도없습니다,0,https://phinf.pstatic.net/checkout.phinf/20250626_21/1750901094293pizvV_JPEG/20250625_191958%281%29.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
54,3,25.07.09.,chun*******,좋아요 ㅎㅎ 좋아요 ㅋㅋ,0,https://phinf.pstatic.net/image.nmv/shopnbuyer_2025_07_09_3180/GFTOyVesiy_03.jpg?type=ffn300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
55,4,25.07.20.,hn****,창틀 실리콘 팡이 제거에 굳,0,https://phinf.pstatic.net/checkout.phinf/20250720_74/1753019678945HP01k_JPEG/1753019663952.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
56,5,25.07.15.,kka1***,잘쓰겠습니다  번창하세요,0,https://phinf.pstatic.net/checkout.phinf/20250715_298/1752567575735S2KQk_JPEG/1000007788.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
57,5,25.07.13.,nuri******,급하게 주문했는데 싸게 잘 샀어요,0,https://phinf.pstatic.net/checkout.phinf/20250713_258/1752376592036WvJK9_JPEG/1000018402.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
58,5,25.07.18.,sukh******,필요하고 편하게 쓸 수 있어서 좋다,0,https://phinf.pstatic.net/checkout.phinf/20250718_12/1752818667653P1VNT_JPEG/1752818648396.jpg?type=f300_300,선택: 락스와세제 후로랄파인 750ml x 4,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
59,5,25.07.15.,brav*******,만족하며 사용하는 제품입니다.,0,https://phinf.pstatic.net/checkout.phinf/20250715_171/1752584836461b14oY_JPEG/1000026786.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
60,5,25.07.08.,dntj*****,우선 가격이 착하고 써보진않았지만 성능이 좋으면 또 이곳에서 주문할게요,0,https://phinf.pstatic.net/checkout.phinf/20250708_171/1751971676415or3wk_JPEG/17519716629928319851811588080029.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
61,5,25.07.20.,yani******,"곰팡이 제거하는데 이거 만한것이 없어요
장마철 욕실 필수템입니딘",0,https://phinf.pstatic.net/checkout.phinf/20250720_194/17530098798594EwaC_JPEG/1753009870873.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
62,3,25.07.08.,lc****,써보지 않았어요. 효과는 모릅니다. 엘지라는 회사믿고 구매했씁니다. 사은품으로 준 제품은 잘쓰겠습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250708_251/1751931510270BC1qu_JPEG/KakaoTalk_20250708_083402732_03.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
63,4,25.07.19.,lyuj****,배송이 빠르고 좋아요 서비스로 주신것도 잘 사용 할게요,0,https://phinf.pstatic.net/checkout.phinf/20250719_288/1752893352138U2srt_JPEG/IMG_9132.jpeg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
64,5,25.07.12.,kkas******,"여름 필수 화장실 아이템. 몇년째 이것만 쓰는중, 바르고 방치하면 끝. 따로 닦지않아 좋음",0,https://phinf.pstatic.net/checkout.phinf/20250712_181/1752288087175Nx2Gi_JPEG/1000006967.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
65,3,25.07.21.,kkky***,욕실 청소할때 잘닦이고 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250721_51/1753062324889gzlPR_JPEG/20250714_095724.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
66,5,25.07.15.,enfa*****,배송 빠르고 좋은 제품 잘 샀네요. 잘 흘게요,0,https://phinf.pstatic.net/checkout.phinf/20250715_93/1752557543871tFsDu_JPEG/image.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
67,5,25.07.16.,suno*****,이전 사진 못 찍었는데 효과 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250716_140/1752638397710Yat2q_JPEG/1752638367590.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
68,5,25.07.18.,kaka******,이거 없음 여름 못 나요>.< 여름 필수품!(사실 사계절 필수품),0,https://phinf.pstatic.net/checkout.phinf/20250718_96/17528228842540C14L_JPEG/image.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
69,5,25.07.15.,ridi****,욕실 실리콘 곰팡이 제거 이것ㅈㅓ것. 써봐도 이게 최고에요,0,https://phinf.pstatic.net/checkout.phinf/20250715_118/1752531285586dl5n3_JPEG/1752531264062.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
70,5,25.07.08.,alic*******,늘 사용하는거라 구매했습니다 줄눈이 깔끔해지고 배송도 빨라서 좋습니다,0,https://phinf.pstatic.net/checkout.phinf/20250708_279/1751974869326OyKFr_JPEG/1751974851776.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
71,5,25.07.07.,ez****,"사용해 보니 좋은것 같아요..
잘 되네요.. 젤 타입이라 사용하기 편하네요..",0,https://phinf.pstatic.net/checkout.phinf/20250707_127/1751892693211XBgsu_JPEG/1000009328.jpg?type=f300_300,선택: 락스와세제 후로랄파인 750ml x 4,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
72,5,25.07.07.,ez****,"사용해 보니 좋은것 같아요..
잘 되네요.. 젤 타입이라 사용하기 편하네요..",0,https://phinf.pstatic.net/checkout.phinf/20250707_215/1751892665696Kxor6_JPEG/1000009328.jpg?type=f300_300,선택: 바르는곰팡이싹120ml x 4+막힌곳펑펑 1L,홈스타 바르는 곰팡이싹 120ml x 4 + 특별증정(막힌곳 펑펑 1L)
