rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.18.,tjsq*****,"펜션이라 깔끔하게 씻기고 거품도 잘나 매번 사용해요
좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250718_167/1752789623155fObns_JPEG/1752789591245.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
2,5,25.07.15.,glun****,평소에 제품이 괜찮아 쓰던 제품이라 구매했습니다.  저렴한 가격에 잘 구매했습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250715_156/1752545058779vo1Jk_JPEG/17525450315762810230029274922187.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
3,5,25.07.18.,hkha*****,제일 뽀드득 닦이는것 같아 이것만 사용해요,0,https://phinf.pstatic.net/checkout.phinf/20250718_81/1752839278577o5bbM_JPEG/1752839253510.jpg?type=f300_300,옵션: 3. 레몬향 4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
4,5,25.07.13.,cafe*******,다행히 용기가 파손된게 없었고 빨리 배송 받았어요.,0,https://phinf.pstatic.net/checkout.phinf/20250713_265/17523352073898VeFl_JPEG/20250706_230720.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
5,5,25.07.17.,laim*****,상품 잘 받았습니다^^,0,https://phinf.pstatic.net/checkout.phinf/20250717_194/1752737269062ChmfC_JPEG/1000046976.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
6,5,25.07.15.,pdh2***,리필용으로 아주 잘쓰고 있습니다!,0,https://phinf.pstatic.net/checkout.phinf/20250715_145/1752511928597fr8pO_JPEG/IMG_6988.jpeg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
7,4,25.07.14.,cyb0***,레몬향은 처음…은근 기대 됩니다.,0,https://phinf.pstatic.net/checkout.phinf/20250714_294/1752481860450uS056_JPEG/IMG_3601.jpeg?type=f300_300,옵션: 3. 레몬향 4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
8,5,25.07.16.,ssis****,한동안 든든 합니다.,0,https://phinf.pstatic.net/checkout.phinf/20250716_212/1752651558339CCnD3_JPEG/1752651548337.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
9,5,25.07.09.,dngh*****,"향기도 좋고 
세정력이 좋습니다",0,https://phinf.pstatic.net/checkout.phinf/20250709_189/1752049297958cUXaq_JPEG/1000024955.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
10,5,25.07.13.,wooy*******,부모님께서 잘받으셨답니다!,0,https://phinf.pstatic.net/checkout.phinf/20250713_285/1752332618446QM7ga_JPEG/1000003191.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
11,5,25.06.30.,ysm0*****,"빠른배송 감사합니다
항상 쓰는제품입니다",0,https://phinf.pstatic.net/checkout.phinf/20250630_236/1751253550047vLNAw_JPEG/IMG_5305.jpeg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
12,5,25.07.07.,sbm0***,항상쓰는제품이라좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250707_165/1751850754289SOcCf_JPEG/1751850746896.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
13,5,25.07.07.,b2****,작은거 쓸때보다 거품이 작은 느낌이에오 (속상),0,https://phinf.pstatic.net/checkout.phinf/20250707_65/17518810041474gKEE_JPEG/1000048745.jpg?type=f300_300,옵션: 3. 레몬향 4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
14,4,25.06.25.,sa****,항상 사용하던 제품입니다.저렴하게 잘 산듯합니다. 잘 사용할게요.,0,https://phinf.pstatic.net/checkout.phinf/20250625_156/1750852109260SyQ4J_JPEG/IMG_5842.jpeg?type=f300_300,옵션: 2.오렌지향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
15,5,25.06.22.,4410***,"배송 빠르고 좋습니다.
친환경어쩌고 따지며 세제 난민하다 다시 자연퐁으로 컴백...  거품이 적당해서 좋아요.",0,https://phinf.pstatic.net/checkout.phinf/20250622_215/1750562684992ztMaQ_JPEG/1000024952.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
16,5,25.06.23.,yjg1***,몇년째 쓰고 있는데 쟁여두려고 구매했어요~~고무장갑안껴도 손이 부드러워요~^^굿입니다!,0,https://phinf.pstatic.net/checkout.phinf/20250623_88/17506665783078u5cC_JPEG/1750666552738.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
17,5,25.07.04.,ymj1****,항상 애용하는 제품입니다,0,https://phinf.pstatic.net/checkout.phinf/20250704_232/17515771545321zjMP_JPEG/1000022097.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
18,5,25.07.04.,ya02***,거품도 잘 나서 좋네요,0,https://phinf.pstatic.net/checkout.phinf/20250704_114/1751618496627y8PTJ_JPEG/1000001951.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
19,5,25.07.21.,zzan********,저렴하게 좋은 상품 잘 샀습니다,0,,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
20,5,25.07.19.,dlag******,계속 주문할게요. 좋아요,0,,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
21,5,25.07.18.,tjsq*****,"펜션이라 깔끔하게 씻기고 거품도 잘나 매번 사용해요
좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250718_167/1752789623155fObns_JPEG/1752789591245.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
22,5,25.07.15.,glun****,평소에 제품이 괜찮아 쓰던 제품이라 구매했습니다.  저렴한 가격에 잘 구매했습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250715_156/1752545058779vo1Jk_JPEG/17525450315762810230029274922187.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
23,5,25.07.18.,hkha*****,제일 뽀드득 닦이는것 같아 이것만 사용해요,0,https://phinf.pstatic.net/checkout.phinf/20250718_81/1752839278577o5bbM_JPEG/1752839253510.jpg?type=f300_300,옵션: 3. 레몬향 4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
24,5,25.07.13.,cafe*******,다행히 용기가 파손된게 없었고 빨리 배송 받았어요.,0,https://phinf.pstatic.net/checkout.phinf/20250713_265/17523352073898VeFl_JPEG/20250706_230720.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
25,5,25.07.17.,laim*****,상품 잘 받았습니다^^,0,https://phinf.pstatic.net/checkout.phinf/20250717_194/1752737269062ChmfC_JPEG/1000046976.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
26,5,25.07.15.,pdh2***,리필용으로 아주 잘쓰고 있습니다!,0,https://phinf.pstatic.net/checkout.phinf/20250715_145/1752511928597fr8pO_JPEG/IMG_6988.jpeg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
27,4,25.07.14.,cyb0***,레몬향은 처음…은근 기대 됩니다.,0,https://phinf.pstatic.net/checkout.phinf/20250714_294/1752481860450uS056_JPEG/IMG_3601.jpeg?type=f300_300,옵션: 3. 레몬향 4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
28,5,25.07.16.,ssis****,한동안 든든 합니다.,0,https://phinf.pstatic.net/checkout.phinf/20250716_212/1752651558339CCnD3_JPEG/1752651548337.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
29,5,25.07.09.,dngh*****,"향기도 좋고 
세정력이 좋습니다",0,https://phinf.pstatic.net/checkout.phinf/20250709_189/1752049297958cUXaq_JPEG/1000024955.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
30,5,25.07.13.,wooy*******,부모님께서 잘받으셨답니다!,0,https://phinf.pstatic.net/checkout.phinf/20250713_285/1752332618446QM7ga_JPEG/1000003191.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
31,5,25.06.30.,ysm0*****,"빠른배송 감사합니다
항상 쓰는제품입니다",0,https://phinf.pstatic.net/checkout.phinf/20250630_236/1751253550047vLNAw_JPEG/IMG_5305.jpeg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
32,5,25.07.07.,sbm0***,항상쓰는제품이라좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250707_165/1751850754289SOcCf_JPEG/1751850746896.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
33,5,25.07.07.,b2****,작은거 쓸때보다 거품이 작은 느낌이에오 (속상),0,https://phinf.pstatic.net/checkout.phinf/20250707_65/17518810041474gKEE_JPEG/1000048745.jpg?type=f300_300,옵션: 3. 레몬향 4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
34,4,25.06.25.,sa****,항상 사용하던 제품입니다.저렴하게 잘 산듯합니다. 잘 사용할게요.,0,https://phinf.pstatic.net/checkout.phinf/20250625_156/1750852109260SyQ4J_JPEG/IMG_5842.jpeg?type=f300_300,옵션: 2.오렌지향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
35,5,25.06.22.,4410***,"배송 빠르고 좋습니다.
친환경어쩌고 따지며 세제 난민하다 다시 자연퐁으로 컴백...  거품이 적당해서 좋아요.",0,https://phinf.pstatic.net/checkout.phinf/20250622_215/1750562684992ztMaQ_JPEG/1000024952.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
36,5,25.06.23.,yjg1***,몇년째 쓰고 있는데 쟁여두려고 구매했어요~~고무장갑안껴도 손이 부드러워요~^^굿입니다!,0,https://phinf.pstatic.net/checkout.phinf/20250623_88/17506665783078u5cC_JPEG/1750666552738.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
37,5,25.07.04.,ymj1****,항상 애용하는 제품입니다,0,https://phinf.pstatic.net/checkout.phinf/20250704_232/17515771545321zjMP_JPEG/1000022097.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
38,5,25.07.04.,ya02***,거품도 잘 나서 좋네요,0,https://phinf.pstatic.net/checkout.phinf/20250704_114/1751618496627y8PTJ_JPEG/1000001951.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
39,5,25.07.21.,zzan********,저렴하게 좋은 상품 잘 샀습니다,0,,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
40,5,25.07.19.,dlag******,계속 주문할게요. 좋아요,0,,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
41,5,25.07.18.,tjsq*****,"펜션이라 깔끔하게 씻기고 거품도 잘나 매번 사용해요
좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250718_167/1752789623155fObns_JPEG/1752789591245.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
42,5,25.07.15.,glun****,평소에 제품이 괜찮아 쓰던 제품이라 구매했습니다.  저렴한 가격에 잘 구매했습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250715_156/1752545058779vo1Jk_JPEG/17525450315762810230029274922187.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
43,5,25.07.18.,hkha*****,제일 뽀드득 닦이는것 같아 이것만 사용해요,0,https://phinf.pstatic.net/checkout.phinf/20250718_81/1752839278577o5bbM_JPEG/1752839253510.jpg?type=f300_300,옵션: 3. 레몬향 4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
44,5,25.07.13.,cafe*******,다행히 용기가 파손된게 없었고 빨리 배송 받았어요.,0,https://phinf.pstatic.net/checkout.phinf/20250713_265/17523352073898VeFl_JPEG/20250706_230720.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
45,5,25.07.17.,laim*****,상품 잘 받았습니다^^,0,https://phinf.pstatic.net/checkout.phinf/20250717_194/1752737269062ChmfC_JPEG/1000046976.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
46,5,25.07.15.,pdh2***,리필용으로 아주 잘쓰고 있습니다!,0,https://phinf.pstatic.net/checkout.phinf/20250715_145/1752511928597fr8pO_JPEG/IMG_6988.jpeg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
47,4,25.07.14.,cyb0***,레몬향은 처음…은근 기대 됩니다.,0,https://phinf.pstatic.net/checkout.phinf/20250714_294/1752481860450uS056_JPEG/IMG_3601.jpeg?type=f300_300,옵션: 3. 레몬향 4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
48,5,25.07.16.,ssis****,한동안 든든 합니다.,0,https://phinf.pstatic.net/checkout.phinf/20250716_212/1752651558339CCnD3_JPEG/1752651548337.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
49,5,25.07.09.,dngh*****,"향기도 좋고 
세정력이 좋습니다",0,https://phinf.pstatic.net/checkout.phinf/20250709_189/1752049297958cUXaq_JPEG/1000024955.jpg?type=f300_300,옵션: 1.솔잎향  4개,자연퐁 주방세제 솔잎향 용기 3.04L 2개+2개
