rank,rating,date,user,content,helpful_count,images,option_info,product_name
18,5,25.07.03.,ps****,양이 많긴하지만 더 저렴하더라고요~ 여러가지 솜써보다가 이걸로 정착했어요~ 도톰하고 부드럽고 좋아요^^,0,https://phinf.pstatic.net/checkout.phinf/20250703_42/1751505815241TBQA2_JPEG/IMG_6572.jpeg?type=f300_300,옵션선택: ②후키토리 32매 7개가성비괜찮아요,시루콧토 우루우루 화장솜 7박스
19,5,25.07.09.,park********,늘 재구매하는 상품입니다.최근 제조 날짜 상품 감사합니다,0,https://phinf.pstatic.net/checkout.phinf/20250709_114/1752016853601imdfK_JPEG/1000002571.jpg?type=f300_300,옵션선택: ①우루우루 40매 7개가성비아주 좋아요,시루콧토 우루우루 화장솜 7박스
20,5,25.07.03.,khs0****,강세일기간에 저렴하게 잘 샀어요! 꾸준히 쓰고 있는 제품입니당,0,https://phinf.pstatic.net/checkout.phinf/20250703_214/1751504547323DmXen_JPEG/1000023532.jpg?type=f300_300,옵션선택: ①우루우루 40매 7개가성비아주 좋아요,시루콧토 우루우루 화장솜 7박스
21,2,25.07.17.,juns***,"배송상태가 좋지 않네요. 박스는 다 젖어서 오고, 본품을 따로 포장없이 보내줘서 전체적으로 눅눅하네요.올***보다 싸서 여기서 주문했는데 다음에는 올***에서 주문해야겠네요",0,https://phinf.pstatic.net/checkout.phinf/20250717_85/1752741217473L4oX5_JPEG/IMG_5450.jpeg?type=f300_300,옵션선택: ①우루우루 40매 7개가성비괜찮아요,시루콧토 우루우루 화장솜 7박스
22,5,25.07.18.,rmwl**********,포장 깔끔하구 배송도 빠르네요! 항상 쓰는 제품이예요😊,0,https://phinf.pstatic.net/checkout.phinf/20250718_242/1752793766720kcSNM_JPEG/1000026042.jpg?type=f300_300,옵션선택: ①우루우루 40매 7개가성비괜찮아요,시루콧토 우루우루 화장솜 7박스
23,5,25.07.20.,jasm*******,"시루콧토만한 퍼프는 다시금 없습니다.
닦아내는 토너뿐 아니고 시원하게 냉장고에
넣었다 써도 좋습니다.",0,https://phinf.pstatic.net/checkout.phinf/20250720_81/1752984859051kV8g2_JPEG/1752984850477.jpg?type=f300_300,옵션선택: ①우루우루 40매 7개가성비아주 좋아요,시루콧토 우루우루 화장솜 7박스
24,5,25.07.17.,ijp8***,저렴하게 구입 잘 했어요 늘 재구매 합니다 좋아요 추천템입니다,0,https://phinf.pstatic.net/checkout.phinf/20250717_297/1752735292137cyyLD_JPEG/1000022070.jpg?type=f300_300,옵션선택: ①우루우루 40매 7개가성비아주 좋아요,시루콧토 우루우루 화장솜 7박스
25,5,25.07.07.,pin9***,"저는 이거 거의 5년째 쓰고 있어요
제품은 매우 만족하고 여기는 최저가로 찾아서 산건데 배송도 빠르고 잘 왔고 제품도 좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250707_267/1751822085110Ufz2L_JPEG/IMG_3112.jpeg?type=f300_300,옵션선택: ①우루우루 40매 7개가성비아주 좋아요,시루콧토 우루우루 화장솜 7박스
26,5,25.07.16.,yu10****,"지금까지 써본 제품중에 제일 괜찮아요
그래서 계속 쓰고 있어요",0,https://phinf.pstatic.net/checkout.phinf/20250716_52/1752659422049c6F9P_JPEG/1752659411248.jpg?type=f300_300,옵션선택: ①우루우루 40매 7개가성비아주 좋아요,시루콧토 우루우루 화장솜 7박스
27,5,25.06.22.,cs****,시루콧토 우루우루 5년째 쓰고 있는데 토너 묻혀서 닦토하기에 너무 좋은 화장솜입니다. 여성분들 리무버로 쓰기에도 너무 좋을 것 같아요~! 좋은 제품 좋은 가격에 살 수 있어 감사합니다!,0,https://phinf.pstatic.net/checkout.phinf/20250622_220/1750593392132gCdKa_JPEG/IMG_0226.jpeg?type=f300_300,옵션선택: ①우루우루 40매 7개가성비아주 좋아요,시루콧토 우루우루 화장솜 7박스
28,5,25.07.17.,pink*******,닥토할때 이만한게 없어요진짜 최고!,0,https://phinf.pstatic.net/checkout.phinf/20250717_31/1752713148085zUdmm_JPEG/IMG_2347.jpeg?type=f300_300,옵션선택: ①우루우루 40매 7개가성비아주 좋아요,시루콧토 우루우루 화장솜 7박스
29,5,25.07.06.,soft****,항상쓰는화장솜요!스킨조금만써도흡수력좋고스킨절약도할수있어맘에쏙들어요!가격도맘에드네요!,0,https://phinf.pstatic.net/checkout.phinf/20250706_295/1751797029388wkdne_JPEG/1000014086.jpg?type=f300_300,옵션선택: ①우루우루 40매 7개가성비아주 좋아요,시루콧토 우루우루 화장솜 7박스
30,5,25.07.15.,ksy8*****,빠르게 배송되었어요. 묶음구매라서 저렴하네요.,0,https://phinf.pstatic.net/checkout.phinf/20250715_138/1752562570110jX43j_JPEG/tmp_2025846929922858816.jpg?type=f300_300,옵션선택: ②후키토리 32매 7개가성비아주 좋아요,시루콧토 우루우루 화장솜 7박스
31,5,25.07.09.,gimm***,저렴하게 잘 사서 엄마랑 나눠쓰고 있습니다. 적은양으로도 충분하고 피부에 자극적이지 않아요.,0,https://phinf.pstatic.net/checkout.phinf/20250709_89/1752028872179XQDUL_JPEG/IMG_6973.jpeg?type=f300_300,옵션선택: ①우루우루 40매 7개가성비아주 좋아요,시루콧토 우루우루 화장솜 7박스
32,5,25.07.15.,sh****,"매번쓰는 화장솜입니다.
박스채로 놓고 쎃었는데 다이소 화장솜거치대를 사서 넣고 쓰려고요.",0,https://phinf.pstatic.net/checkout.phinf/20250715_246/1752546113355G2Vsi_JPEG/1752546105160.jpg?type=f300_300,옵션선택: ①우루우루 40매 7개가성비아주 좋아요,시루콧토 우루우루 화장솜 7박스
33,5,25.07.19.,jung*******,너무 마음에 듭니다. 잘산거같아요,0,https://phinf.pstatic.net/checkout.phinf/20250719_81/1752920998436r5vdr_JPEG/image.jpg?type=f300_300,옵션선택: ①우루우루 40매 7개가성비아주 좋아요,시루콧토 우루우루 화장솜 7박스
34,5,25.07.10.,tae2***,배송도 빠르고 좋아요 이것만 씁니당,0,https://phinf.pstatic.net/checkout.phinf/20250710_42/1752146039799rQVmp_JPEG/IMG_3327.jpeg?type=f300_300,옵션선택: ①우루우루 40매 7개가성비아주 좋아요,시루콧토 우루우루 화장솜 7박스
35,4,25.07.01.,cjh5***,이사온곳에 이사하자마자 갈았는데 일주일 밖에 안됐는데 이렇개 변했어요...안했으면 큰일날뻔 했지뭐예요...후,0,https://phinf.pstatic.net/checkout.phinf/20250701_100/1751297301420hEOVg_JPEG/image.jpg?type=f300_300,옵션선택: ①우루우루 40매 7개가성비아주 좋아요,시루콧토 우루우루 화장솜 7박스
36,5,25.07.09.,kei_****,"항상 쓰는 화장솜이에요
화장솜이 토너를 많이 안먹어서 토너팩하기도 좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250709_224/17520241832606mkmO_JPEG/1000081091.jpg?type=f300_300,옵션선택: ①우루우루 40매 7개가성비아주 좋아요,시루콧토 우루우루 화장솜 7박스
37,5,25.07.15.,jsho*****,늘 사용하던 제품이라 계속 구매하고 있어요.,0,https://phinf.pstatic.net/checkout.phinf/20250715_57/1752588852582ArAgr_JPEG/1000237124.jpg?type=f300_300,옵션선택: ①우루우루 40매 7개가성비아주 좋아요,시루콧토 우루우루 화장솜 7박스
38,5,25.07.03.,ps****,양이 많긴하지만 더 저렴하더라고요~ 여러가지 솜써보다가 이걸로 정착했어요~ 도톰하고 부드럽고 좋아요^^,0,https://phinf.pstatic.net/checkout.phinf/20250703_42/1751505815241TBQA2_JPEG/IMG_6572.jpeg?type=f300_300,옵션선택: ②후키토리 32매 7개가성비괜찮아요,시루콧토 우루우루 화장솜 7박스
39,5,25.07.09.,park********,늘 재구매하는 상품입니다.최근 제조 날짜 상품 감사합니다,0,https://phinf.pstatic.net/checkout.phinf/20250709_114/1752016853601imdfK_JPEG/1000002571.jpg?type=f300_300,옵션선택: ①우루우루 40매 7개가성비아주 좋아요,시루콧토 우루우루 화장솜 7박스
40,5,25.07.03.,khs0****,강세일기간에 저렴하게 잘 샀어요! 꾸준히 쓰고 있는 제품입니당,0,https://phinf.pstatic.net/checkout.phinf/20250703_214/1751504547323DmXen_JPEG/1000023532.jpg?type=f300_300,옵션선택: ①우루우루 40매 7개가성비아주 좋아요,시루콧토 우루우루 화장솜 7박스
