rank,rating,date,user,content,helpful_count,images,option_info,product_name
30,5,25.07.01.,aluv*****,주문하고 이제써보려구요.기대합니다 ㅎㅎ,0,https://phinf.pstatic.net/checkout.phinf/20250701_248/1751357646927pGLNF_JPEG/1000064382.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
31,5,25.07.10.,tjdt******,좋아요 만족합니다~~,0,https://phinf.pstatic.net/checkout.phinf/20250710_48/1752148862013FsHe9_JPEG/image.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
32,5,25.07.10.,byun****,엘지 식세기에 엘지 세제,0,https://phinf.pstatic.net/checkout.phinf/20250710_17/1752149503540QLafs_JPEG/1000020026.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
33,5,25.06.27.,sa****,린스 잘 써볼게요. 가격이 더 저렴 하면 좋겠어요.,0,https://phinf.pstatic.net/checkout.phinf/20250627_220/1750981296320wXtz9_JPEG/image.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
34,4,25.06.05.,5a****,"식기세척기가 lg거라서 아무래도 같은 회사 제품이 좋을거 같고 해외 브랜드보다 우리나라 식습관 설거지에 더 적합할거 같아요. 
세제가 토탈 세제라 굳이 린스가 없을거 같기도한데 한 번 넣어 놓고 최소한으로 들어가게 해 놓으면 오래 쓸거 같아요. 다만 린스 넣을 때 흘리게 되서 소금 넣는 것처럼 작은 린스용 깔때기 있으면 좋겠어요. ^^",0,https://phinf.pstatic.net/checkout.phinf/20250605_122/1749092976401GmlNS_JPEG/1000020541.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
35,4,25.07.05.,boss******,"식세기 세제는 이걸로 정착
개구리는 가라",0,https://phinf.pstatic.net/checkout.phinf/20250705_189/1751683183821QCKJc_JPEG/PayApp_20250705_113934_1186915141554050920.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
36,5,25.07.06.,gpwl*******,오래쓰다보니 물때가 더 잘끼는것 같고 마르고 나서 깨끗하지않아서 주문했어요 아직 좀 더 써보고 결정해야겠지만 첨써본결과는 만족스럽습니다.,0,,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
37,5,25.07.04.,go****,추천 받아서 처음 구매해봤어요!,0,https://phinf.pstatic.net/checkout.phinf/20250704_90/1751641024702pTUVb_JPEG/image.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
38,5,25.06.26.,smaj*****,식세기에 필요한 린스 저렴하게 잘구매하였습니다,0,https://phinf.pstatic.net/checkout.phinf/20250626_126/1750890727753qyuJA_JPEG/1000030826.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
39,5,25.06.27.,clas*******,안넣으면 물떼가 조금 생기는거 같아재구매 했어요,0,https://phinf.pstatic.net/checkout.phinf/20250627_123/1751010632881wlsKm_JPEG/1751010622063.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
40,5,25.07.17.,prin*******,사용하기 편하고 효과 좋아요,0,,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
41,5,25.07.06.,dlaa*******,배송이 아주 빨랐어요!! 그릇넣고는 아직 사용하지 못했지만 같은LG라서 구매했습니다~!,0,https://phinf.pstatic.net/checkout.phinf/20250706_104/1751797097410QxVgq_JPEG/1000041426.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
42,4,25.07.14.,yata******,"미리 구매해놓았어요
액체형이 좋습니다",0,https://phinf.pstatic.net/checkout.phinf/20250714_215/1752463641135jAIz7_JPEG/1000038055.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
43,5,25.07.18.,trav*******,배송이 엄청 빨라요,0,https://phinf.pstatic.net/checkout.phinf/20250718_167/1752807943358pEwO3_JPEG/1752807913532.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
44,5,25.07.15.,anst*******,매일 식세기 돌리면서 잘쓰고있어요~,0,https://phinf.pstatic.net/checkout.phinf/20250715_16/1752586194129cxoao_JPEG/tmp_4270193375087425670.jpg?type=f300_300,옵션: 린스 500ml 2개+증정(타블렛10g 5입),자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
45,5,25.06.29.,jiye*****,"지인이 추천해줘서 사용해보려고요ㅎ
제조일자는 25년3월이네요 좋아요ㅎ",0,https://phinf.pstatic.net/checkout.phinf/20250629_260/1751154090163iITHT_JPEG/image.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
46,5,25.07.06.,ro****,바로 필요했는데 일요일 배송되서 너뮤 좋네요!,0,https://phinf.pstatic.net/checkout.phinf/20250706_87/1751774709633BRzww_JPEG/IMG_6477.jpeg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
47,5,25.07.06.,wkdu*****,"가격이 부담스럽지 않고, 효과가 좋다는 후기가 많아 구매했습니다.",0,https://phinf.pstatic.net/checkout.phinf/20250706_224/17517851426321YzmS_JPEG/1000017417.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
48,5,25.07.12.,eunj*******,남편이 시켜달래서 시켜봤어요,0,https://phinf.pstatic.net/checkout.phinf/20250712_260/1752276558290FOJnN_JPEG/image.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
49,5,25.07.07.,jsh7***,식기세척린스 효과가 좋길바래요^^,0,https://phinf.pstatic.net/checkout.phinf/20250707_114/1751880736370DTzXG_JPEG/20250707_182859.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
50,5,25.07.01.,aluv*****,주문하고 이제써보려구요.기대합니다 ㅎㅎ,0,https://phinf.pstatic.net/checkout.phinf/20250701_248/1751357646927pGLNF_JPEG/1000064382.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
51,5,25.07.10.,tjdt******,좋아요 만족합니다~~,0,https://phinf.pstatic.net/checkout.phinf/20250710_48/1752148862013FsHe9_JPEG/image.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
52,5,25.07.10.,byun****,엘지 식세기에 엘지 세제,0,https://phinf.pstatic.net/checkout.phinf/20250710_17/1752149503540QLafs_JPEG/1000020026.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
53,5,25.06.27.,sa****,린스 잘 써볼게요. 가격이 더 저렴 하면 좋겠어요.,0,https://phinf.pstatic.net/checkout.phinf/20250627_220/1750981296320wXtz9_JPEG/image.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
54,4,25.06.05.,5a****,"식기세척기가 lg거라서 아무래도 같은 회사 제품이 좋을거 같고 해외 브랜드보다 우리나라 식습관 설거지에 더 적합할거 같아요. 
세제가 토탈 세제라 굳이 린스가 없을거 같기도한데 한 번 넣어 놓고 최소한으로 들어가게 해 놓으면 오래 쓸거 같아요. 다만 린스 넣을 때 흘리게 되서 소금 넣는 것처럼 작은 린스용 깔때기 있으면 좋겠어요. ^^",0,https://phinf.pstatic.net/checkout.phinf/20250605_122/1749092976401GmlNS_JPEG/1000020541.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
55,4,25.07.05.,boss******,"식세기 세제는 이걸로 정착
개구리는 가라",0,https://phinf.pstatic.net/checkout.phinf/20250705_189/1751683183821QCKJc_JPEG/PayApp_20250705_113934_1186915141554050920.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
56,5,25.07.06.,gpwl*******,오래쓰다보니 물때가 더 잘끼는것 같고 마르고 나서 깨끗하지않아서 주문했어요 아직 좀 더 써보고 결정해야겠지만 첨써본결과는 만족스럽습니다.,0,,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
57,5,25.07.04.,go****,추천 받아서 처음 구매해봤어요!,0,https://phinf.pstatic.net/checkout.phinf/20250704_90/1751641024702pTUVb_JPEG/image.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
58,5,25.06.26.,smaj*****,식세기에 필요한 린스 저렴하게 잘구매하였습니다,0,https://phinf.pstatic.net/checkout.phinf/20250626_126/1750890727753qyuJA_JPEG/1000030826.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
59,5,25.06.27.,clas*******,안넣으면 물떼가 조금 생기는거 같아재구매 했어요,0,https://phinf.pstatic.net/checkout.phinf/20250627_123/1751010632881wlsKm_JPEG/1751010622063.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
60,5,25.07.17.,prin*******,사용하기 편하고 효과 좋아요,0,,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
61,5,25.07.06.,dlaa*******,배송이 아주 빨랐어요!! 그릇넣고는 아직 사용하지 못했지만 같은LG라서 구매했습니다~!,0,https://phinf.pstatic.net/checkout.phinf/20250706_104/1751797097410QxVgq_JPEG/1000041426.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
62,4,25.07.14.,yata******,"미리 구매해놓았어요
액체형이 좋습니다",0,https://phinf.pstatic.net/checkout.phinf/20250714_215/1752463641135jAIz7_JPEG/1000038055.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
63,5,25.07.18.,trav*******,배송이 엄청 빨라요,0,https://phinf.pstatic.net/checkout.phinf/20250718_167/1752807943358pEwO3_JPEG/1752807913532.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
64,5,25.07.15.,anst*******,매일 식세기 돌리면서 잘쓰고있어요~,0,https://phinf.pstatic.net/checkout.phinf/20250715_16/1752586194129cxoao_JPEG/tmp_4270193375087425670.jpg?type=f300_300,옵션: 린스 500ml 2개+증정(타블렛10g 5입),자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
65,5,25.06.29.,jiye*****,"지인이 추천해줘서 사용해보려고요ㅎ
제조일자는 25년3월이네요 좋아요ㅎ",0,https://phinf.pstatic.net/checkout.phinf/20250629_260/1751154090163iITHT_JPEG/image.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
66,5,25.07.06.,ro****,바로 필요했는데 일요일 배송되서 너뮤 좋네요!,0,https://phinf.pstatic.net/checkout.phinf/20250706_87/1751774709633BRzww_JPEG/IMG_6477.jpeg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
67,5,25.07.06.,wkdu*****,"가격이 부담스럽지 않고, 효과가 좋다는 후기가 많아 구매했습니다.",0,https://phinf.pstatic.net/checkout.phinf/20250706_224/17517851426321YzmS_JPEG/1000017417.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
68,5,25.07.12.,eunj*******,남편이 시켜달래서 시켜봤어요,0,https://phinf.pstatic.net/checkout.phinf/20250712_260/1752276558290FOJnN_JPEG/image.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
69,5,25.07.07.,jsh7***,식기세척린스 효과가 좋길바래요^^,0,https://phinf.pstatic.net/checkout.phinf/20250707_114/1751880736370DTzXG_JPEG/20250707_182859.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
70,5,25.07.01.,aluv*****,주문하고 이제써보려구요.기대합니다 ㅎㅎ,0,https://phinf.pstatic.net/checkout.phinf/20250701_248/1751357646927pGLNF_JPEG/1000064382.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
71,5,25.07.10.,tjdt******,좋아요 만족합니다~~,0,https://phinf.pstatic.net/checkout.phinf/20250710_48/1752148862013FsHe9_JPEG/image.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
72,5,25.07.10.,byun****,엘지 식세기에 엘지 세제,0,https://phinf.pstatic.net/checkout.phinf/20250710_17/1752149503540QLafs_JPEG/1000020026.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
73,5,25.06.27.,sa****,린스 잘 써볼게요. 가격이 더 저렴 하면 좋겠어요.,0,https://phinf.pstatic.net/checkout.phinf/20250627_220/1750981296320wXtz9_JPEG/image.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
74,4,25.06.05.,5a****,"식기세척기가 lg거라서 아무래도 같은 회사 제품이 좋을거 같고 해외 브랜드보다 우리나라 식습관 설거지에 더 적합할거 같아요. 
세제가 토탈 세제라 굳이 린스가 없을거 같기도한데 한 번 넣어 놓고 최소한으로 들어가게 해 놓으면 오래 쓸거 같아요. 다만 린스 넣을 때 흘리게 되서 소금 넣는 것처럼 작은 린스용 깔때기 있으면 좋겠어요. ^^",0,https://phinf.pstatic.net/checkout.phinf/20250605_122/1749092976401GmlNS_JPEG/1000020541.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
75,4,25.07.05.,boss******,"식세기 세제는 이걸로 정착
개구리는 가라",0,https://phinf.pstatic.net/checkout.phinf/20250705_189/1751683183821QCKJc_JPEG/PayApp_20250705_113934_1186915141554050920.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
76,5,25.07.06.,gpwl*******,오래쓰다보니 물때가 더 잘끼는것 같고 마르고 나서 깨끗하지않아서 주문했어요 아직 좀 더 써보고 결정해야겠지만 첨써본결과는 만족스럽습니다.,0,,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
77,5,25.07.04.,go****,추천 받아서 처음 구매해봤어요!,0,https://phinf.pstatic.net/checkout.phinf/20250704_90/1751641024702pTUVb_JPEG/image.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
78,5,25.06.26.,smaj*****,식세기에 필요한 린스 저렴하게 잘구매하였습니다,0,https://phinf.pstatic.net/checkout.phinf/20250626_126/1750890727753qyuJA_JPEG/1000030826.jpg?type=f300_300,옵션: 자연퐁 식기세척기 린스 500ml 2개,자연퐁 스팀워시 식기세척기 전용 헹굼제 (린스) 500ml 2개
