rank,rating,date,user,content,helpful_count,images,option_info,product_name
21,5,25.05.31.,jood****,"1. [악취 억제] 땀 냄새, 발 냄새 등을 잘 잡아줌. 본인은 직업 상 스타킹에 구두를 신고 오래 서있는 경우가 많은데, 이로 인해 오후가 되면 발 냄새가 심해짐. 이때 본 제품을 뿌렸더니   악취가 사라졌음. 
→ 냄새 억제 효과에 깜짝 놀람. 적극 추천 👍
2. [냄새 예방 효과는 살짝 낮음] 악취 억제 성능에 감탄해서
샤워 후 전신에 뿌려봤는데....
겨드랑이, 발 등에 땀이 과하게 나니...  냄새가 났음.
→ 미리 땀 냄새를 예방하는 것 보다는  
악취가 날 때 이를 억제하는 쪽에 포커스가 맞춰진 상품 같음.

3. [흡수력 우수] 바로 흡수되고, 산뜻한 편이라.. 사용감 좋음.

4. [자몽 향] 상큼, 시원한 레몬 향보다는, 씁쓸한 자몽 향에 가까움.
→ 잘 날아가는 시트러스 향기고 (퍼퓸이 아닌) 미스트라서,   향 지속도는  길지 않은 편.

5. [사용 Tip]
→ 흔들어서 파우더를 섞은 뒤, 뿌리면 효과 좋음
미세한 파우더가 들어있는데, 그냥 뿌리면   맑은 물만 나옴.
사용 전 흔들어서 파우더랑 미스트를 섞은 뒤에 분사해야
파우더가 땀 등을 흡착해서 효과가 좋아짐(* 잘 흔들 수 있도록 안에 ‘구슬‘이 들어있음. 첨부 사진 참조)

6. [밀폐된 곳에서 뿌리면 두통 등 유발] 
효과가 좋아서 많이 뿌리고, 
밀실에 있었더니 코가 아프고 콧물, 재채기, 두통이 생겼음.
→ 사용 시 밀폐된 곳에서 과하게 뿌리지 않도록 주의.

7. [국산] 제조한 곳은.. 충북 청주로
→ 국산품이라 좋음. 

8. [유통기한 넉넉] 유통기한은... 2028년 4월 14일까지로
→ 기한이 넉넉한 것을 보내줌.

9. [배송 신속] 금요일 오후에 주문했고, 토요일 점심 때 도착.

10. [샐 염려 없음] On, Off 버튼이 있어서 
가방 안에서 다른 제품에 눌려, 액이 샐 염려가 없어서 만족.

11. [앙증맞은 크기] 첨부한 사진처럼 크기가 아담한 사이즈.
가방 속에 쏙~ 들어가기 때문에, 
휴대하다가 👣발 냄새 나면 칙칙 뿌려주면 굿!

- 👨‍🏫 총평 : 첨부사진처럼 냄새 제거 제품들을 많이 쓰는데, 
타 제품에 비해 상대적으로   효과가 좋은 편. 추천!!",20,https://phinf.pstatic.net/image.nmv/shopnbuyer_2025_06_02_3099/mIxuTd2X9j_03.jpg?type=ffn300_300,옵션: 바디미스트150ml시트러스향1개향/냄새괜찮아요분사력적당해요촉촉함촉촉해요,46cm 바디미스트 150ml 시트러스향
22,4,25.07.12.,sayu***,"재구입했어요.
처음 구입하고 사용하다 한 번 떨어뜨렸는데 분무되는 부분이 분리되더니 바로 망가지더라고요; 그래서 다른 용기에 소분해서 썼는데 이번에도 계속 그러고 있어요. 아무래도 좀 약한 것 같아 불안해요. 보완해주시면 좋을 것 같습니다. 내용물은 만족해요.",0,https://phinf.pstatic.net/checkout.phinf/20250712_175/1752308693825TXCV6_JPEG/5BLGEC839DED999CEAB1B4EAB0955D_46cm_EBB094EB9494EBAFB8EC.jpg?type=f300_300,옵션: 바디미스트150ml시트러스향1개향/냄새괜찮아요분사력별로예요촉촉함보통이에요,46cm 바디미스트 150ml 시트러스향
23,4,25.07.04.,wind****,배송 빠릅니다. 가격대비 용량이 작네요. 운동 시작전에 사용했는데 향이 오래가지는 않네요.,1,https://phinf.pstatic.net/checkout.phinf/20250704_183/1751591313129GQ0AN_JPEG/20250630_215757.jpg?type=f300_300,옵션: 바디미스트150ml시트러스향1개향/냄새괜찮아요분사력적당해요촉촉함촉촉해요,46cm 바디미스트 150ml 시트러스향
24,5,25.07.02.,tong*****,"운동가기전에 뿌리면 산뜻하니 좋아요
땀나고 나서 뿌려도 냄새가 많이 가려지네요
저는 사용했을때 땀을 엄청흘리는정도가 아니면 지속력효과 좋았어요
여름 필수템입니다~~",0,https://phinf.pstatic.net/checkout.phinf/20250702_235/1751450346837wnz3j_JPEG/17514503288215351863968850062738.jpg?type=f300_300,옵션: 바디미스트150ml시트러스향1개+증정피부타입복합성잡티미백주름향/냄새괜찮아요분사력적당해요촉촉함보통이에요,46cm 바디미스트 150ml 시트러스향
25,5,25.07.19.,endl*******,샴프 사용해보고 향기가 너무좋아 구매했습니다 역시 좋네용 ㅎ,0,https://phinf.pstatic.net/checkout.phinf/20250719_107/1752931140644DExoW_JPEG/1000011376.jpg?type=f300_300,옵션: 바디미스트150ml시트러스향1개향/냄새아주 만족해요분사력아주 좋아요촉촉함촉촉해요,46cm 바디미스트 150ml 시트러스향
26,4,25.07.06.,chon******,향은 나쁘지않네요 다만 활동중 냄새가 날때 뿌리려면 매번 맨살에 뿌리긴 힘드니 의류 위로 뿌려질때도 있는데 그러니 나중에 옷에서 쉰내가 나기도 해서 아쉽습니다.,1,https://phinf.pstatic.net/checkout.phinf/20250706_59/17517652870458VExv_JPEG/image.jpg?type=f300_300,옵션: 바디미스트 150ml 아쿠아프레쉬 1개향/냄새괜찮아요분사력아주 좋아요촉촉함촉촉해요,46cm 바디미스트 150ml 시트러스향
27,5,25.05.26.,enej********,"우선 향이 너무 좋습니다. 그리고 제가 운동을 오래하다보니 중간이 씻을 수가 없어 구매하게 되었는데요, 확실히 땀냄새를 잡아줍니다. 쿱쿱한 냄새가 없고 저는 앞으로 계속 구매할 예정입니다. 용량이 더 큰게 나오거나 리필이 따로 나오면 너무나 좋을것 같습니다. 제품력은 정말좋네요.. 지금까지 같은 기능의 바디미스트 4종류를 써봤는디 고민없이 원픽이었습니다. 태닝을 하고 있는터라 피부가 민감하기도 한데 따가운점도 전혀 없어요. 매일 쓰면 당연히 좋지 않겠지만(이건 일반 데오드란트도 마찬가지입니다) 올여름 무척 덥다는데 예티켓을 위해 한두번 양조절하며 사용하면 좋틀거 같아요. 그리고 향이 거슬리는거 없이 좋네요.. 잘만든 제품입니다",3,https://phinf.pstatic.net/checkout.phinf/20250526_208/17482103483185aRUB_JPEG/image.jpg?type=f300_300,옵션: 바디미스트150ml시트러스향1개피부타입지성피지향/냄새아주 만족해요분사력아주 좋아요촉촉함촉촉해요,46cm 바디미스트 150ml 시트러스향
28,5,25.07.17.,klom***,"향 너무좋고, 분사력도 좋고 좋습니다
감사합니다",0,https://phinf.pstatic.net/checkout.phinf/20250717_22/1752720557896lRjzQ_PNG/20250717_114911.png?type=f300_300,옵션: 바디미스트 150ml 아쿠아프레쉬 1개향/냄새아주 만족해요분사력아주 좋아요촉촉함촉촉해요,46cm 바디미스트 150ml 시트러스향
29,4,25.07.04.,dbgu******,"파우더도 들어 있고 냄새 잘 잡아 줄거 같아요~~ 
향이 강한 편이에요 🤩🤩다른 향수 같이 뿌려도 얘가 너무 강해요~~ 그래서 발에 뿌릴라고 산거에영 ㅎㅎㅎ 발냄새 다 잡아가라~~",1,https://phinf.pstatic.net/checkout.phinf/20250704_95/1751601552556qq0hS_JPEG/image.jpg?type=f300_300,옵션: 바디미스트150ml시트러스향1개피부타입건성트러블탄력유수분밸런스향/냄새괜찮아요분사력아주 좋아요촉촉함촉촉해요,46cm 바디미스트 150ml 시트러스향
30,5,25.07.09.,11ek***,"안에 구슬 같은게
있어서 잘 섞이는듯합니다. 향기도 만족스러워요. 시원한 향입니다.",1,https://phinf.pstatic.net/checkout.phinf/20250709_283/1752055808007DzA7E_JPEG/IMG_4358.jpeg?type=f300_300,옵션: 바디미스트 150ml 아쿠아프레쉬 1개향/냄새아주 만족해요분사력적당해요촉촉함촉촉해요,46cm 바디미스트 150ml 시트러스향
31,5,25.07.17.,wh****,"배송 빠르게 잘받았습니다.
저는 개인적으로 향이 별로인거 같아요.",0,https://phinf.pstatic.net/checkout.phinf/20250717_210/1752738809257U0GET_JPEG/1752738797480.jpg?type=f300_300,옵션: 바디미스트150ml시트러스향1개향/냄새별로예요분사력적당해요촉촉함보통이에요,46cm 바디미스트 150ml 시트러스향
32,5,25.06.24.,ujin*****,"셔워 후 팔 몸 다리 한번씩만 뿌려도 은은한 향이 매우 좋습니다. 그리고 금방 뽀송뽀송 해지네요.
몇시간 지나서 맡아도 은은하게 너무 만족입니다
용량이 작은게 너무너무너무 흠입니다.ㅠㅠ
세일하면 무조껀 재구매각 입니다!",0,https://phinf.pstatic.net/checkout.phinf/20250624_186/17506923650289FFG0_JPEG/1750692339084.jpg?type=f300_300,옵션: 바디미스트150ml시트러스향1개향/냄새아주 만족해요분사력아주 좋아요촉촉함촉촉해요,46cm 바디미스트 150ml 시트러스향
33,5,25.04.23.,mebu****,"최근에 사용해본 바디미스트 중에서 정말 만족스러웠던 제품이 있어 후기를 남깁니다. 우선 향이 너무 자극적이지 않고 은은하게 퍼져서 데일리로 사용하기에 딱 좋았어요. 특히 샤워 후나 외출 전, 잠들기 전에 가볍게 뿌리면 기분 전환도 되고 하루의 피로가 조금은 가시는 느낌이에요. 지속력은 향수보다는 짧지만 바디미스트 치고는 꽤 오래가는 편이라 만족스러웠습니다. 향이 가볍고 부드러워서 주변 사람들에게도 부담 없이 사용할 수 있었고, 실제로 친구들이 어떤 제품이냐고 물어보기도 했어요. 또 알코올 향이 강하지 않아서 민감한 피부인 저에게도 자극 없이 잘 맞았고, 피부가 촉촉하게 유지되는 느낌도 들어서 바디로션을 따로 바르지 않아도 괜찮더라고요. 가격대도 합리적이고 용량이 살작작아서 아쉽다고 생각해요. 앞으로도 꾸준히 재구매 의사가 있을 정도로 마음에 들었습니다. 향수보다 부담 없고 로션보다 간편한, 일상 속 작은 힐링템으로 추천드려요. 2개정도 더살 생각입니다  잔향이 계속 재구하게 만드네요",4,https://phinf.pstatic.net/image.nmv/shopnbuyer_2025_04_23_3467/dj1lhVC56K_03.jpg?type=ffn300_300,옵션: 바디미스트150ml시트러스향1개+증정피부타입복합성잡티주름피지향/냄새아주 만족해요분사력아주 좋아요촉촉함촉촉해요,46cm 바디미스트 150ml 시트러스향
34,5,25.06.06.,luff***,의류에 직접 분사하면 파우더가 묻어날 것 같아 신체에만 분사했습니다. 향이 강하지 않아서 굳이 특정 향 고를 것 없이 재고 있는 향으로 사셔도 될 듯 합니다. 데오드란트 효과는 롤온보다는 확실히 나았습니다.,2,https://phinf.pstatic.net/checkout.phinf/20250606_275/1749139659879lFLu1_JPEG/20250601_200617.jpg?type=f300_300,옵션: 바디미스트150ml시트러스향1개향/냄새괜찮아요분사력적당해요촉촉함보통이에요,46cm 바디미스트 150ml 시트러스향
35,5,25.07.17.,yfre***,처음향이 강하게 느껴지는데 익숙해져서 괜찮아요,0,https://phinf.pstatic.net/checkout.phinf/20250717_1/1752733695948JlVli_JPEG/17527336826973378768736272439057.jpg?type=f300_300,옵션: 바디미스트150ml시트러스향1개향/냄새괜찮아요분사력적당해요촉촉함보통이에요,46cm 바디미스트 150ml 시트러스향
36,5,25.07.20.,jpil***,빠른배송 잘받았습니다,0,https://phinf.pstatic.net/checkout.phinf/20250720_216/1753005228148pYwjN_JPEG/1000014820.jpg?type=f300_300,옵션: 바디미스트150ml시트러스향1개향/냄새아주 만족해요분사력아주 좋아요촉촉함촉촉해요,46cm 바디미스트 150ml 시트러스향
37,2,25.07.11.,bk****,"포장 상태가 영 아닙니다. 
도착시 많이는 아니지만 흘러나오고 상태가 ㅋㅋ",0,https://phinf.pstatic.net/checkout.phinf/20250711_190/1752196581577QjWu6_JPEG/IMG_0661.jpeg?type=f300_300,옵션: 바디미스트150ml시트러스향1개피부타입지성민감성탄력향/냄새괜찮아요분사력아주 좋아요촉촉함보통이에요,46cm 바디미스트 150ml 시트러스향
38,5,25.06.12.,tpdm*****,그냥 여름도 오고 몸에 체취가 나는걸 굉장히 극도로 꺼려하는 사람으로써 요긴하게 잘 쓰고 있습니다. 샤워 후 간편하게 뿌려주면 편리하고 좋더라구요. 향기도 무난해서 평소에 쓰기 좋습니다. 샤워하고도 끈적거리는 경우가 있는데 이걸 쓰면 그런 거 없이 기분 좋게 샤워를 마무리 할 수 있어요!,1,https://phinf.pstatic.net/checkout.phinf/20250612_196/1749690099267U3K7e_JPEG/11.JPG?type=f300_300,옵션: 바디미스트150ml시트러스향1개향/냄새괜찮아요분사력아주 좋아요촉촉함보통이에요,46cm 바디미스트 150ml 시트러스향
39,3,25.07.18.,won3***,가성비 좋은 제품 입니다,0,https://phinf.pstatic.net/checkout.phinf/20250718_10/1752806484997XEjLq_JPEG/1752806471154.jpg?type=f300_300,옵션: 바디미스트 150ml 아쿠아프레쉬 1개향/냄새괜찮아요분사력적당해요촉촉함보통이에요,46cm 바디미스트 150ml 시트러스향
40,3,25.07.18.,won3***,가성비 좋은 제품 입니다,0,https://phinf.pstatic.net/checkout.phinf/20250718_110/1752806431430V11z9_JPEG/1752806410141.jpg?type=f300_300,옵션: 바디미스트150ml시트러스향1개향/냄새괜찮아요분사력적당해요촉촉함보통이에요,46cm 바디미스트 150ml 시트러스향
