rank,rating,date,user,content,helpful_count,images,option_info,product_name
16,5,25.07.13.,dbal******,이거 너무 부드러워요. 15개 한번에 사니 싸사 좋아요👍,0,https://phinf.pstatic.net/checkout.phinf/20250713_32/17523810034402rvfF_JPEG/image.jpg?type=f300_300,옵션선택: 후키토리 32매 x 15개가성비아주 좋아요,시루콧토 화장솜 후키토리 32매 x 15개
17,5,25.07.10.,powe*******,늘쓰는 제품이라 양은많지만.가성비 좋아서 구매했어요^^,0,https://phinf.pstatic.net/checkout.phinf/20250710_206/1752127010567eWpJk_JPEG/17521269955942483545220793653112.jpg?type=f300_300,옵션선택: 후키토리 32매 x 15개가성비아주 좋아요,시루콧토 화장솜 후키토리 32매 x 15개
18,5,25.07.06.,hp****,좋아요 꾸준하게 쓰고 있어요 여기에서 사면 안 비싸서 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250706_279/1751777839268hjV7w_JPEG/1000113721.jpg?type=f300_300,옵션선택: 후키토리 32매 x 15개가성비괜찮아요,시루콧토 화장솜 후키토리 32매 x 15개
19,5,25.07.16.,pink******,"항상 잘쓰고 있어요
다른건 못쓰겠어요...",0,https://phinf.pstatic.net/checkout.phinf/20250716_74/1752659866994U6uzv_JPEG/1752659846329.jpg?type=f300_300,옵션선택: 후키토리 32매 x 15개가성비아주 좋아요,시루콧토 화장솜 후키토리 32매 x 15개
20,5,25.07.17.,epo0***,항상  이거만   사용하고 있어요,0,https://phinf.pstatic.net/checkout.phinf/20250717_173/17527463007485QAXu_JPEG/1752746280447.jpg?type=f300_300,옵션선택: 후키토리 32매 x 15개가성비아주 좋아요,시루콧토 화장솜 후키토리 32매 x 15개
21,5,25.07.16.,wk****,"대용량으로 저렴하게 샀어요
요즘 생얼로 모자 자주 쓰는데 땀을 흘릴때마다 모자를 매일 빨 수 없어서 모자 이마쪽에 넣는 용도로 자주 쓰고 있어요
솜이 이마에 묻어나지 않아서 너무 좋아요
다른 저렴이들은 묻어나서 못써요
제조일자도 올해라서 좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250716_50/1752668198267DOilc_JPEG/IMG_3334.jpeg?type=f300_300,옵션선택: 후키토리 32매 x 15개가성비괜찮아요,시루콧토 화장솜 후키토리 32매 x 15개
22,5,25.07.05.,chac*******,"진짜 시루콧토 밖에 못쓰겠어요 ㅠㅠ
써보면 압니다. 아무리 깨끗하게 세안해도 나오는 아주 작은 마스카라 잔여물이나 타올에서 묻어난 먼지까지 싹 닦여요!! 그리고 가격이 비교해본곳중 최고!!",0,https://phinf.pstatic.net/checkout.phinf/20250705_153/1751723684955XSMGp_JPEG/IMG_6738.jpeg?type=f300_300,옵션선택: 후키토리 32매 x 15개가성비아주 좋아요,시루콧토 화장솜 후키토리 32매 x 15개
23,5,25.07.15.,he****,"시루콧토 화장솜 한번 써보면 계속 쓰게 돼요!
부드럽고 도톰해서 한장이면 충분히 잘 쓸수 있어요!넉넉히 구매하니 든든하고 좋아요ㅎ",0,https://phinf.pstatic.net/checkout.phinf/20250715_130/1752561623115eX2hU_JPEG/1000013958.jpg?type=f300_300,옵션선택: 후키토리 32매 x 15개가성비아주 좋아요,시루콧토 화장솜 후키토리 32매 x 15개
24,5,25.07.18.,wild****,배송이 칼같아서 좋네요!! 두툼한데 찢어지지 않는 화장솜 찾기가 쉽지가 않은데 아주 맘에 듭니다!!,0,https://phinf.pstatic.net/checkout.phinf/20250718_229/1752791957806L3UqO_JPEG/20250717_204003.jpg?type=f300_300,옵션선택: 후키토리 32매 x 15개가성비아주 좋아요,시루콧토 화장솜 후키토리 32매 x 15개
25,5,25.07.20.,baby********,다른 화장솜에 비해서 안 밀리고 부드럽게 클렌징이 돼요. 적은 클렌징워터 로또 충분히 부드럽게 지워져서 계속 쓰는 화장솜입니다,0,https://phinf.pstatic.net/checkout.phinf/20250720_144/1752988315639drOYF_JPEG/1752988306354.jpg?type=f300_300,옵션선택: 후키토리 32매 x 15개가성비아주 좋아요,시루콧토 화장솜 후키토리 32매 x 15개
26,5,25.07.08.,80le*******,시루콧토 우루우루를 사용했었는데 우연히 올리브영에서 한개 사서 써보고 이게 훨씬좋길래 이제품으로 갈아탔습니다. 우루우루보다 양이 적고 비싸긴 한데 닦아보면 진짜 뭔가 닦여 나오는게 최고입니다 우루우루는 그런 미세한것까지 닦여 나오지 않더라구요 좋습니다 제품 ~,0,https://phinf.pstatic.net/checkout.phinf/20250708_277/1751965093838EDVWv_JPEG/image.jpg?type=f300_300,옵션선택: 후키토리 32매 x 15개가성비아주 좋아요,시루콧토 화장솜 후키토리 32매 x 15개
27,5,25.07.16.,coco***,이쪽 네이버스토어가 제일 저렴해서 대량주문했어요~ 천이 엄청 보드랍네용 애기손수건 같아요~~,0,https://phinf.pstatic.net/checkout.phinf/20250716_49/1752661389585WVIbb_JPEG/IMG_0055.jpeg?type=f300_300,옵션선택: 후키토리 32매 x 15개가성비아주 좋아요,시루콧토 화장솜 후키토리 32매 x 15개
28,5,25.07.13.,love******,부드럽고 너무 좋아요 ! 화장지울때랑 스킨케어할때 최고좋습니당,0,https://phinf.pstatic.net/checkout.phinf/20250713_88/1752401662801agJQI_JPEG/IMG_7391.jpeg?type=f300_300,옵션선택: 후키토리 32매 x 15개가성비아주 좋아요,시루콧토 화장솜 후키토리 32매 x 15개
29,5,25.06.29.,cu****,"시루콧토 화장솜을 꾸준히 사용하고 있어요
우루우르는 스킨사용할 때 쓰고, 후키토리는 메이크업 클렌징할때 사용합니다 부드럽고 깨끗하게 지워져서 아주 만족해요~
배송도 굿입니다~",0,https://phinf.pstatic.net/checkout.phinf/20250629_73/1751197745781vnH7G_JPEG/20250629_125328.jpg?type=f300_300,옵션선택: 후키토리 32매 x 15개가성비괜찮아요,시루콧토 화장솜 후키토리 32매 x 15개
30,5,25.07.16.,kang******,최애 화장솜이라 매번 3통씩 사는것도 귀찮아서 그냥 15팩 질렀습니다. 집에 친구 놀러오면 그냥 하나씩 줘요,0,https://phinf.pstatic.net/checkout.phinf/20250716_176/1752670502654xRF5E_JPEG/image.jpg?type=f300_300,옵션선택: 후키토리 32매 x 15개가성비아주 좋아요,시루콧토 화장솜 후키토리 32매 x 15개
