rank,rating,date,user,content,helpful_count,images,option_info,product_name
13,5,25.07.20.,soje********,성분 조아서 구매했어요!!ㅔ,0,https://phinf.pstatic.net/checkout.phinf/20250720_258/1752987617877tlr8g_JPEG/image.jpg?type=f300_300,옵션: 체리블라썸 샴푸 3개+컨디셔너 1개헤어복합성손상모볼륨 부족가는 모발머릿결개선아주 좋아요거품풍부해요세정력아주 만족해요,[수분영양]오가니스트 체리블라썸 샴푸 500ml 3개+컨디셔너 500ml 1개
14,5,25.06.30.,je****,"향기도 좋고
머릿결도 부드러워 
항상 쓰고있어요
파마머리에도 굿",0,https://phinf.pstatic.net/checkout.phinf/20250630_51/17512666118040orf7_JPEG/1751266600002.jpg?type=f300_300,옵션: 체리블라썸 샴푸 2개+컨디셔너 2개헤어지성민감성 두피머릿결개선아주 좋아요거품풍부해요세정력아주 만족해요,[수분영양]오가니스트 체리블라썸 샴푸 500ml 3개+컨디셔너 500ml 1개
15,5,25.07.14.,lees*****,"머리결, 거품, 세정력 만족.",0,https://phinf.pstatic.net/checkout.phinf/20250714_167/1752497761533iaLRh_JPEG/tmp_5672112786947235169.jpg?type=f300_300,옵션: 체리블라썸 샴푸 2개+컨디셔너 2개+타올머릿결개선아주 좋아요거품풍부해요세정력아주 만족해요,[수분영양]오가니스트 체리블라썸 샴푸 500ml 3개+컨디셔너 500ml 1개
16,5,25.07.08.,j2****,두피에 자극적이지 않고 순해서 늘 사용함,0,https://phinf.pstatic.net/checkout.phinf/20250708_233/1751986010129LGo6q_JPEG/tmp_7289396528019700356.jpg?type=f300_300,옵션: 체리블라썸 수분영양 샴푸 4개머릿결개선아주 좋아요거품풍부해요세정력아주 만족해요,[수분영양]오가니스트 체리블라썸 샴푸 500ml 3개+컨디셔너 500ml 1개
17,5,25.07.07.,sjhc******,향이 좋아서 쓰기 시작했는데 계속 쓰게되네요,0,https://phinf.pstatic.net/checkout.phinf/20250707_65/1751888698203dnnz8_JPEG/PayApp_20250707_204442_4199543982684106960.jpg?type=f300_300,옵션: 체리블라썸 샴푸 3개+컨디셔너 1개+타올헤어건성가는 모발머릿결개선아주 좋아요거품풍부해요세정력아주 만족해요,[수분영양]오가니스트 체리블라썸 샴푸 500ml 3개+컨디셔너 500ml 1개
18,5,25.07.10.,dnjs***,만족하면서 사용하고 있습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250710_199/1752108345229wn95i_JPEG/ECBAA1ECB298.JPG?type=f300_300,옵션: 로즈마리 딥클렌징 샴푸 4개세정력보통이에요머릿결개선만족해요거품적당해요,[수분영양]오가니스트 체리블라썸 샴푸 500ml 3개+컨디셔너 500ml 1개
19,5,25.07.05.,tldm****,"항산 잘쓰고 있어요
향기도 좋구 좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250705_151/1751721368263yTgYv_JPEG/1751721340756.jpg?type=f300_300,옵션: 체리블라썸 샴푸 3개+컨디셔너 1개머릿결개선아주 좋아요거품풍부해요세정력아주 만족해요,[수분영양]오가니스트 체리블라썸 샴푸 500ml 3개+컨디셔너 500ml 1개
20,5,25.07.05.,bbh0***,머릿결이 부드러워지네요  아주좋습니다,0,https://phinf.pstatic.net/checkout.phinf/20250705_34/1751714755559U2z3k_JPEG/IMG_7915.jpeg?type=f300_300,옵션: 체리블라썸 수분영양 샴푸 4개머릿결개선아주 좋아요거품풍부해요세정력아주 만족해요,[수분영양]오가니스트 체리블라썸 샴푸 500ml 3개+컨디셔너 500ml 1개
21,3,25.06.30.,gaeu*********,"부러져왔어요 교환해주세요~😥
근데 저스티커 깔끔하게 떨어지지않아요 지저분하고 통을 잡았을시 진득해서 별로인데..스티커를 안붙이던가 잘떨어지는걸로 바꿔주면 좋겠어요 몇년째 이러네요😅",0,https://phinf.pstatic.net/checkout.phinf/20250630_240/1751272392212LHKos_JPEG/20250630_173222.jpg?type=f300_300,옵션: 아르간오일 샴푸2개+컨디셔너 2개세정력보통이에요머릿결개선만족해요거품풍부해요,[수분영양]오가니스트 체리블라썸 샴푸 500ml 3개+컨디셔너 500ml 1개
22,5,25.06.04.,dmsg*****,"여름이라 쿨링샴푸로 골랐어요^^
엘지팬이라 엘지수건 겟하려고 첫 구매해본건데
사용해보고 잘 맞으면 다른 제품도 구매할 예정이예요!
남자친구가 특히 두피가 예민하고
두피며 모발때문에 고민이 많은 편이라
이것저것 써보며 맞는 샴푸를 찾고있는 중인데
조금이라도 효과가 있으면 좋겠네요!
열심히 사용후 한달리뷰 쓰러 올게요~
무적엘지 빠이팅♡ 엘지생활건강 화이팅♡",0,https://phinf.pstatic.net/checkout.phinf/20250604_282/1749006670968vym7I_JPEG/20250604_120124.jpg?type=f300_300,옵션: 페퍼민트 쿨링진정 샴푸 4개+타올세정력보통이에요머릿결개선만족해요거품적당해요,[수분영양]오가니스트 체리블라썸 샴푸 500ml 3개+컨디셔너 500ml 1개
23,4,25.07.09.,eleg******,"지성두피용이라 그런지 뽀득뽀득 개운하네요
머릿결은 좀 뻑뻑한 느낌 ㅋㅋ
전 개운해서 맘에 들어요 
향기도 시원해서 좋아여",0,https://phinf.pstatic.net/checkout.phinf/20250709_250/1752015385610IYIny_JPEG/image.jpg?type=f300_300,옵션: 로즈마리 딥클렌징 샴푸 4개머릿결개선잘 모르겠어요거품적당해요세정력아주 만족해요,[수분영양]오가니스트 체리블라썸 샴푸 500ml 3개+컨디셔너 500ml 1개
24,5,25.07.19.,yuji*****,간혹 면역력 떨어지면 두피가 간지럽하고 하는 동생이 이 샴푸를 잘써서 꾸준히 사용하고 이ㅆ어요😉,0,https://phinf.pstatic.net/checkout.phinf/20250719_257/1752858527414bpAlw_JPEG/1000019275.jpg?type=f300_300,옵션: 체리블라썸 수분영양 샴푸 4개헤어복합성윤기 부족볼륨 부족머릿결개선아주 좋아요거품풍부해요세정력아주 만족해요,[수분영양]오가니스트 체리블라썸 샴푸 500ml 3개+컨디셔너 500ml 1개
25,5,25.06.27.,kkjj****,"향 좋은 샴푸를 원하는 가족이 있어서 구매했어요. 온더바디 비누향이 좋아서 이 샴푸도 좋아할줄알고 셋트구성으로 샀더니, 에프킬러에 설탕 한스푼 넣은 향이라고  하네요 .거품 잘 나고 양이 많아요",0,https://phinf.pstatic.net/checkout.phinf/20250627_70/1750982063020im7Sx_JPEG/20250627_084025.jpg?type=f300_300,옵션: 체리블라썸 샴푸 3개+컨디셔너 1개머릿결개선만족해요거품풍부해요세정력아주 만족해요,[수분영양]오가니스트 체리블라썸 샴푸 500ml 3개+컨디셔너 500ml 1개
26,5,25.06.30.,park****,향이 오래 가고 정수리 냄새도 안 나요! 이것저것 다 써봤는데 이게 제일 만족스럽네요! 이걸로 정착하려고요,0,https://phinf.pstatic.net/checkout.phinf/20250630_134/1751263338629LV3oK_JPEG/IMG_4075.jpeg?type=f300_300,옵션: 체리블라썸 샴푸 2개+컨디셔너 2개머릿결개선만족해요거품적당해요세정력아주 만족해요,[수분영양]오가니스트 체리블라썸 샴푸 500ml 3개+컨디셔너 500ml 1개
27,5,25.07.16.,frmo****,상당히 맘에 들어요 추천해요,0,https://phinf.pstatic.net/checkout.phinf/20250716_186/1752646148548fq3Ku_JPEG/1752646132005.jpg?type=f300_300,옵션: 체리블라썸 샴푸 2개+컨디셔너 2개헤어건성손상모피지 과다가려움머릿결개선아주 좋아요거품풍부해요세정력아주 만족해요,[수분영양]오가니스트 체리블라썸 샴푸 500ml 3개+컨디셔너 500ml 1개
28,5,25.07.15.,jhj0***,향이 너무 좋아서 재구매해요,0,https://phinf.pstatic.net/checkout.phinf/20250715_83/1752570479408wTFsk_JPEG/20250714_080859.jpg?type=f300_300,옵션: 체리블라썸 샴푸 2개+컨디셔너 2개머릿결개선아주 좋아요거품풍부해요세정력아주 만족해요,[수분영양]오가니스트 체리블라썸 샴푸 500ml 3개+컨디셔너 500ml 1개
29,5,25.07.10.,jerr****,향도 좋고 만족합니다. 사은품이 넘 좋으네요.,0,https://phinf.pstatic.net/checkout.phinf/20250710_135/1752150103604EPoyA_JPEG/20250608_193227.jpg?type=f300_300,옵션: 로즈마리 딥클렌징 샴푸 4개+타올머릿결개선아주 좋아요거품풍부해요세정력아주 만족해요,[수분영양]오가니스트 체리블라썸 샴푸 500ml 3개+컨디셔너 500ml 1개
30,5,25.07.16.,ksoo*****,향기도좋고 세정력도 괜찮네요,0,https://phinf.pstatic.net/checkout.phinf/20250716_63/1752651629962B36Wu_JPEG/1752651619619.jpg?type=f300_300,옵션: 체리블라썸 샴푸 3개+컨디셔너 1개머릿결개선아주 좋아요거품풍부해요세정력아주 만족해요,[수분영양]오가니스트 체리블라썸 샴푸 500ml 3개+컨디셔너 500ml 1개
31,5,25.06.30.,je****,"항상 쓰던건데~
향도 좋고
파마머리에 
 머릿결도 부드러워 좋아요
자녀들과 함께 써요",0,https://phinf.pstatic.net/checkout.phinf/20250630_82/1751266282545J4Uaa_JPEG/1751266266613.jpg?type=f300_300,옵션: 체리블라썸 샴푸 3개+컨디셔너 1개헤어지성민감성 두피머릿결개선아주 좋아요거품풍부해요세정력아주 만족해요,[수분영양]오가니스트 체리블라썸 샴푸 500ml 3개+컨디셔너 500ml 1개
32,5,25.07.15.,jhj0***,향이 너무 조아 매번 재구매해요,0,https://phinf.pstatic.net/checkout.phinf/20250715_5/17525704355436OYP1_JPEG/20250714_080841.jpg?type=f300_300,옵션: 체리블라썸 샴푸 3개+컨디셔너 1개머릿결개선아주 좋아요거품풍부해요세정력아주 만족해요,[수분영양]오가니스트 체리블라썸 샴푸 500ml 3개+컨디셔너 500ml 1개
33,5,25.07.20.,soje********,성분 조아서 구매했어요!!ㅔ,0,https://phinf.pstatic.net/checkout.phinf/20250720_258/1752987617877tlr8g_JPEG/image.jpg?type=f300_300,옵션: 체리블라썸 샴푸 3개+컨디셔너 1개헤어복합성손상모볼륨 부족가는 모발머릿결개선아주 좋아요거품풍부해요세정력아주 만족해요,[수분영양]오가니스트 체리블라썸 샴푸 500ml 3개+컨디셔너 500ml 1개
34,5,25.06.30.,je****,"향기도 좋고
머릿결도 부드러워 
항상 쓰고있어요
파마머리에도 굿",0,https://phinf.pstatic.net/checkout.phinf/20250630_51/17512666118040orf7_JPEG/1751266600002.jpg?type=f300_300,옵션: 체리블라썸 샴푸 2개+컨디셔너 2개헤어지성민감성 두피머릿결개선아주 좋아요거품풍부해요세정력아주 만족해요,[수분영양]오가니스트 체리블라썸 샴푸 500ml 3개+컨디셔너 500ml 1개
35,5,25.07.14.,lees*****,"머리결, 거품, 세정력 만족.",0,https://phinf.pstatic.net/checkout.phinf/20250714_167/1752497761533iaLRh_JPEG/tmp_5672112786947235169.jpg?type=f300_300,옵션: 체리블라썸 샴푸 2개+컨디셔너 2개+타올머릿결개선아주 좋아요거품풍부해요세정력아주 만족해요,[수분영양]오가니스트 체리블라썸 샴푸 500ml 3개+컨디셔너 500ml 1개
36,5,25.07.08.,j2****,두피에 자극적이지 않고 순해서 늘 사용함,0,https://phinf.pstatic.net/checkout.phinf/20250708_233/1751986010129LGo6q_JPEG/tmp_7289396528019700356.jpg?type=f300_300,옵션: 체리블라썸 수분영양 샴푸 4개머릿결개선아주 좋아요거품풍부해요세정력아주 만족해요,[수분영양]오가니스트 체리블라썸 샴푸 500ml 3개+컨디셔너 500ml 1개
37,5,25.07.07.,sjhc******,향이 좋아서 쓰기 시작했는데 계속 쓰게되네요,0,https://phinf.pstatic.net/checkout.phinf/20250707_65/1751888698203dnnz8_JPEG/PayApp_20250707_204442_4199543982684106960.jpg?type=f300_300,옵션: 체리블라썸 샴푸 3개+컨디셔너 1개+타올헤어건성가는 모발머릿결개선아주 좋아요거품풍부해요세정력아주 만족해요,[수분영양]오가니스트 체리블라썸 샴푸 500ml 3개+컨디셔너 500ml 1개
38,5,25.07.10.,dnjs***,만족하면서 사용하고 있습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250710_199/1752108345229wn95i_JPEG/ECBAA1ECB298.JPG?type=f300_300,옵션: 로즈마리 딥클렌징 샴푸 4개세정력보통이에요머릿결개선만족해요거품적당해요,[수분영양]오가니스트 체리블라썸 샴푸 500ml 3개+컨디셔너 500ml 1개
39,5,25.07.05.,tldm****,"항산 잘쓰고 있어요
향기도 좋구 좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250705_151/1751721368263yTgYv_JPEG/1751721340756.jpg?type=f300_300,옵션: 체리블라썸 샴푸 3개+컨디셔너 1개머릿결개선아주 좋아요거품풍부해요세정력아주 만족해요,[수분영양]오가니스트 체리블라썸 샴푸 500ml 3개+컨디셔너 500ml 1개
40,5,25.07.05.,bbh0***,머릿결이 부드러워지네요  아주좋습니다,0,https://phinf.pstatic.net/checkout.phinf/20250705_34/1751714755559U2z3k_JPEG/IMG_7915.jpeg?type=f300_300,옵션: 체리블라썸 수분영양 샴푸 4개머릿결개선아주 좋아요거품풍부해요세정력아주 만족해요,[수분영양]오가니스트 체리블라썸 샴푸 500ml 3개+컨디셔너 500ml 1개
