rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.20.,77re***,아주  저렴하니까  좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250720_204/1752984558058OuQzb_JPEG/tmp_6614893234274762450.jpg?type=f300_300,옵션: 4.아몬드+피오니+웜코튼 바디워시900ml세정력보통이에요거품적당해요촉촉함보통이에요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
2,4,25.07.04.,soph*****,향이 좋아요. 은은하면서 포근한 향이 나서 기분좋네요.,0,https://phinf.pstatic.net/checkout.phinf/20250704_51/1751630475834naIrv_JPEG/20250704_174726.jpg?type=f300_300,옵션: 3.웜코튼 바디워시 900ml 3개세정력보통이에요거품적당해요촉촉함촉촉해요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
3,5,25.07.15.,kck0***,같은향으로 쭈욱 쓰고있습니다,0,https://phinf.pstatic.net/checkout.phinf/20250715_161/1752576131273NVj6O_JPEG/IMG_6194.jpeg?type=f300_300,옵션: 1.아몬드 바디워시900ml 3개거품풍부해요촉촉함촉촉해요세정력아주 만족해요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
4,5,25.07.08.,euge******,"안녕하세요,
택배 상자 뜯었을 때도 약간 흘러있었고
원룸생활하는 아이 짐싸면서 수납상자에 잠깐 뉘여놓았는데 또 흘러있더라고요. 패키지의 하자일까요.. 다음부턴 신경써주시길 부탁드립니다.",0,,옵션: 3.웜코튼 바디워시 900ml 3개거품풍부해요촉촉함촉촉해요세정력아주 만족해요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
5,5,25.07.04.,3813***,배송빨라요 맘에 듭니다,0,https://phinf.pstatic.net/checkout.phinf/20250704_241/1751620849445yn5nb_JPEG/IMG_4526.jpeg?type=f300_300,옵션: 4.아몬드+피오니+웜코튼 바디워시900ml거품풍부해요촉촉함촉촉해요세정력아주 만족해요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
6,5,25.07.09.,suje******,잘 사용하고 있습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250709_226/1752070936729X6ca0_JPEG/IMG_7842.jpeg?type=f300_300,옵션: 4.아몬드+피오니+웜코튼 바디워시900ml세정력보통이에요거품적당해요촉촉함보통이에요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
7,5,25.06.22.,rl****,캡이 깨져와서 교환하는데 연휴가 끼여있어 오래걸렸어요ㅠㅜ 제품은 좋습니다~,0,https://phinf.pstatic.net/checkout.phinf/20250622_148/1750550676291SjTDp_JPEG/1000032290.jpg?type=f300_300,옵션: 4.아몬드+피오니+웜코튼 바디워시900ml거품풍부해요촉촉함보통이에요세정력아주 만족해요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
8,5,25.07.21.,sym4***,제품의 품질이 좋아요.,0,,옵션: 4.아몬드+피오니+웜코튼 바디워시900ml세정력보통이에요거품적당해요촉촉함보통이에요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
9,5,25.07.21.,sym4***,제품의 품질이 좋아요.,0,,옵션: 2.피오니 바디워시  900ml 3개세정력보통이에요거품적당해요촉촉함보통이에요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
10,5,25.07.21.,sym4***,제품의 품질이 좋아요.,0,,옵션: 1.아몬드 바디워시900ml 3개세정력보통이에요거품적당해요촉촉함보통이에요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
11,5,25.07.20.,jksh******,저렴하게 가성비 굿 잘스고잇어여,0,,옵션: 4.아몬드+피오니+웜코튼 바디워시900ml거품풍부해요촉촉함촉촉해요세정력아주 만족해요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
12,5,25.06.10.,sira****,배송도 빠르고 상품의 포장 상태나 내용물도 만족스럽습니다. 재구매의사 있으며 번창하길 바랍니다.,0,https://phinf.pstatic.net/checkout.phinf/20250610_94/1749516756131Rn03H_JPEG/20250505_131624.jpg?type=f300_300,옵션: 4.아몬드+피오니+웜코튼 바디워시900ml거품풍부해요촉촉함촉촉해요세정력아주 만족해요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
13,2,25.07.18.,rkdg***,한개다 깨져서 왔내여 ㅠ,0,,옵션: 3.웜코튼 바디워시 900ml 3개거품풍부해요촉촉함보통이에요세정력아주 만족해요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
14,5,25.06.20.,moun****,가격도저렴하고 피부도 부드러워요,0,https://phinf.pstatic.net/checkout.phinf/20250620_190/1750346123751vHpcl_JPEG/1750346111011.jpg?type=f300_300,옵션: 1.아몬드 바디워시900ml 3개거품풍부해요촉촉함촉촉해요세정력아주 만족해요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
15,4,25.06.09.,fres******,향이 좋아요 가족들 모두 마음에 들어해요,0,https://phinf.pstatic.net/checkout.phinf/20250609_180/1749480256790AxTHh_JPEG/1000014313.jpg?type=f300_300,옵션: 3.웜코튼 바디워시 900ml 3개세정력보통이에요거품적당해요촉촉함보통이에요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
16,5,25.06.21.,yoyl****,항상 잘 쓰고있어요 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250621_99/1750434307065pil2q_JPEG/IMG_1774.jpeg?type=f300_300,옵션: 3.웜코튼 바디워시 900ml 3개거품풍부해요촉촉함촉촉해요세정력아주 만족해요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
17,5,25.07.07.,yeon*********,향이 참 좋고 사용하고나서 건조함이 없어요,0,,옵션: 1.아몬드 바디워시900ml 3개거품풍부해요촉촉함촉촉해요세정력아주 만족해요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
18,5,25.07.11.,gksr****,아주 좋습니다 굿이에여,0,,옵션: 3.웜코튼 바디워시 900ml 3개세정력보통이에요거품적당해요촉촉함보통이에요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
19,5,25.06.14.,evil***,"손씻는 용도로 쓰고 있는데
촉촉하고 거품도 적당해서 좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250614_254/1749899708737ItUtN_JPEG/1000000571.jpg?type=f300_300,옵션: 4.아몬드+피오니+웜코튼 바디워시900ml거품적당해요촉촉함촉촉해요세정력아주 만족해요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
20,5,25.06.15.,leej*****,배송 ㅃㅏ르고 향 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250615_61/174998881086764Tvx_JPEG/PayApp_20250615_205947_6822434466889672314.jpg?type=f300_300,옵션: 4.아몬드+피오니+웜코튼 바디워시900ml피부타입지성탄력거품풍부해요촉촉함촉촉해요세정력아주 만족해요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
21,5,25.07.20.,77re***,아주  저렴하니까  좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250720_204/1752984558058OuQzb_JPEG/tmp_6614893234274762450.jpg?type=f300_300,옵션: 4.아몬드+피오니+웜코튼 바디워시900ml세정력보통이에요거품적당해요촉촉함보통이에요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
22,4,25.07.04.,soph*****,향이 좋아요. 은은하면서 포근한 향이 나서 기분좋네요.,0,https://phinf.pstatic.net/checkout.phinf/20250704_51/1751630475834naIrv_JPEG/20250704_174726.jpg?type=f300_300,옵션: 3.웜코튼 바디워시 900ml 3개세정력보통이에요거품적당해요촉촉함촉촉해요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
23,5,25.07.15.,kck0***,같은향으로 쭈욱 쓰고있습니다,0,https://phinf.pstatic.net/checkout.phinf/20250715_161/1752576131273NVj6O_JPEG/IMG_6194.jpeg?type=f300_300,옵션: 1.아몬드 바디워시900ml 3개거품풍부해요촉촉함촉촉해요세정력아주 만족해요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
24,5,25.07.08.,euge******,"안녕하세요,
택배 상자 뜯었을 때도 약간 흘러있었고
원룸생활하는 아이 짐싸면서 수납상자에 잠깐 뉘여놓았는데 또 흘러있더라고요. 패키지의 하자일까요.. 다음부턴 신경써주시길 부탁드립니다.",0,,옵션: 3.웜코튼 바디워시 900ml 3개거품풍부해요촉촉함촉촉해요세정력아주 만족해요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
25,5,25.07.04.,3813***,배송빨라요 맘에 듭니다,0,https://phinf.pstatic.net/checkout.phinf/20250704_241/1751620849445yn5nb_JPEG/IMG_4526.jpeg?type=f300_300,옵션: 4.아몬드+피오니+웜코튼 바디워시900ml거품풍부해요촉촉함촉촉해요세정력아주 만족해요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
26,5,25.07.09.,suje******,잘 사용하고 있습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250709_226/1752070936729X6ca0_JPEG/IMG_7842.jpeg?type=f300_300,옵션: 4.아몬드+피오니+웜코튼 바디워시900ml세정력보통이에요거품적당해요촉촉함보통이에요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
27,5,25.06.22.,rl****,캡이 깨져와서 교환하는데 연휴가 끼여있어 오래걸렸어요ㅠㅜ 제품은 좋습니다~,0,https://phinf.pstatic.net/checkout.phinf/20250622_148/1750550676291SjTDp_JPEG/1000032290.jpg?type=f300_300,옵션: 4.아몬드+피오니+웜코튼 바디워시900ml거품풍부해요촉촉함보통이에요세정력아주 만족해요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
28,5,25.07.21.,sym4***,제품의 품질이 좋아요.,0,,옵션: 4.아몬드+피오니+웜코튼 바디워시900ml세정력보통이에요거품적당해요촉촉함보통이에요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
29,5,25.07.21.,sym4***,제품의 품질이 좋아요.,0,,옵션: 2.피오니 바디워시  900ml 3개세정력보통이에요거품적당해요촉촉함보통이에요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
30,5,25.07.21.,sym4***,제품의 품질이 좋아요.,0,,옵션: 1.아몬드 바디워시900ml 3개세정력보통이에요거품적당해요촉촉함보통이에요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
31,5,25.07.20.,jksh******,저렴하게 가성비 굿 잘스고잇어여,0,,옵션: 4.아몬드+피오니+웜코튼 바디워시900ml거품풍부해요촉촉함촉촉해요세정력아주 만족해요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
32,5,25.06.10.,sira****,배송도 빠르고 상품의 포장 상태나 내용물도 만족스럽습니다. 재구매의사 있으며 번창하길 바랍니다.,0,https://phinf.pstatic.net/checkout.phinf/20250610_94/1749516756131Rn03H_JPEG/20250505_131624.jpg?type=f300_300,옵션: 4.아몬드+피오니+웜코튼 바디워시900ml거품풍부해요촉촉함촉촉해요세정력아주 만족해요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
33,2,25.07.18.,rkdg***,한개다 깨져서 왔내여 ㅠ,0,,옵션: 3.웜코튼 바디워시 900ml 3개거품풍부해요촉촉함보통이에요세정력아주 만족해요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
34,5,25.06.20.,moun****,가격도저렴하고 피부도 부드러워요,0,https://phinf.pstatic.net/checkout.phinf/20250620_190/1750346123751vHpcl_JPEG/1750346111011.jpg?type=f300_300,옵션: 1.아몬드 바디워시900ml 3개거품풍부해요촉촉함촉촉해요세정력아주 만족해요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
35,4,25.06.09.,fres******,향이 좋아요 가족들 모두 마음에 들어해요,0,https://phinf.pstatic.net/checkout.phinf/20250609_180/1749480256790AxTHh_JPEG/1000014313.jpg?type=f300_300,옵션: 3.웜코튼 바디워시 900ml 3개세정력보통이에요거품적당해요촉촉함보통이에요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
36,5,25.06.21.,yoyl****,항상 잘 쓰고있어요 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250621_99/1750434307065pil2q_JPEG/IMG_1774.jpeg?type=f300_300,옵션: 3.웜코튼 바디워시 900ml 3개거품풍부해요촉촉함촉촉해요세정력아주 만족해요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
37,5,25.07.07.,yeon*********,향이 참 좋고 사용하고나서 건조함이 없어요,0,,옵션: 1.아몬드 바디워시900ml 3개거품풍부해요촉촉함촉촉해요세정력아주 만족해요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
38,5,25.07.11.,gksr****,아주 좋습니다 굿이에여,0,,옵션: 3.웜코튼 바디워시 900ml 3개세정력보통이에요거품적당해요촉촉함보통이에요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
39,5,25.06.14.,evil***,"손씻는 용도로 쓰고 있는데
촉촉하고 거품도 적당해서 좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250614_254/1749899708737ItUtN_JPEG/1000000571.jpg?type=f300_300,옵션: 4.아몬드+피오니+웜코튼 바디워시900ml거품적당해요촉촉함촉촉해요세정력아주 만족해요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
40,5,25.06.15.,leej*****,배송 ㅃㅏ르고 향 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250615_61/174998881086764Tvx_JPEG/PayApp_20250615_205947_6822434466889672314.jpg?type=f300_300,옵션: 4.아몬드+피오니+웜코튼 바디워시900ml피부타입지성탄력거품풍부해요촉촉함촉촉해요세정력아주 만족해요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
41,5,25.07.20.,77re***,아주  저렴하니까  좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250720_204/1752984558058OuQzb_JPEG/tmp_6614893234274762450.jpg?type=f300_300,옵션: 4.아몬드+피오니+웜코튼 바디워시900ml세정력보통이에요거품적당해요촉촉함보통이에요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
42,4,25.07.04.,soph*****,향이 좋아요. 은은하면서 포근한 향이 나서 기분좋네요.,0,https://phinf.pstatic.net/checkout.phinf/20250704_51/1751630475834naIrv_JPEG/20250704_174726.jpg?type=f300_300,옵션: 3.웜코튼 바디워시 900ml 3개세정력보통이에요거품적당해요촉촉함촉촉해요,온더바디 리얼모이스쳐 바디워시 아몬드 900ml 3개
